dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE67835_oligodendrocytes	pearson	HIPPIE	20000	32	50.69	51	7.67350814639089	0.627450980392157	-2.43565259115422
GSE67835_oligodendrocytes	pearson	HIPPIE	50000	86	151.13	151.5	10.0650962050127	0.567656765676568	-6.47087704611937
GSE67835_oligodendrocytes	pearson	HIPPIE	1e+05	178	323.18	324	15.2225112410814	0.549382716049383	-9.53719118355447
GSE67835_oligodendrocytes	pearson	Reactome	20000	145	91.01	91	9.42111855076003	1.59340659340659	5.73074202485696
GSE67835_oligodendrocytes	pearson	Reactome	50000	337	240.66	240	14.7190661759131	1.40416666666667	6.54525218166726
GSE67835_oligodendrocytes	pearson	Reactome	1e+05	752	513.92	513	22.044344656014	1.46588693957115	10.8000488885048
GSE67835_oligodendrocytes	pearson	STRING	20000	9	29.25	28	5.74610100569741	0.321428571428571	-3.52412879271033
GSE67835_oligodendrocytes	pearson	STRING	50000	35	76.18	75	8.66827490905716	0.466666666666667	-4.7506568990991
GSE67835_oligodendrocytes	pearson	STRING	1e+05	82	161.64	161	11.574545391077	0.509316770186335	-6.88061580901449
GSE67835_oligodendrocytes	pearson	OmniPath	20000	9	8.46	8	3.04319077630866	1.125	0.177445332775032
GSE67835_oligodendrocytes	pearson	OmniPath	50000	17	23.23	23	4.19440464226215	0.739130434782609	-1.48531210776078
GSE67835_oligodendrocytes	pearson	OmniPath	1e+05	34	50.06	50	6.36724572965566	0.68	-2.52228368149827
