dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE69761	hamming	HIPPIE	20000	209	187.9	188	12.5758305948957	1.11170212765957	1.67782158329678
GSE69761	hamming	HIPPIE	50000	814	451.19	450.5	17.3314072356424	1.80688124306326	20.9336723248805
GSE69761	hamming	HIPPIE	1e+05	1225	801.97	800.5	24.6008355774984	1.53029356652092	17.1957573826042
GSE69761	hamming	Reactome	20000	207	104.43	104.5	9.47112037787089	1.98086124401914	10.8297641575386
GSE69761	hamming	Reactome	50000	902	306.89	307.5	16.4063888762761	2.93333333333333	36.2730643828965
GSE69761	hamming	Reactome	1e+05	1415	602.6	603.5	21.5547224664587	2.34465617232809	37.6901164588955
GSE69761	hamming	STRING	20000	146	69.17	69	7.46446802044746	2.11594202898551	10.2927629657652
GSE69761	hamming	STRING	50000	567	166.74	164.5	11.8582707785995	3.4468085106383	33.7536566227132
GSE69761	hamming	STRING	1e+05	786	271.93	273	16.0581361737201	2.87912087912088	32.0130552162897
GSE69761	hamming	OmniPath	20000	30	21.81	22	4.66167481933394	1.36363636363636	1.75687930141172
GSE69761	hamming	OmniPath	50000	464	80.33	80	8.56591200543459	5.8	44.7903270260753
GSE69761	hamming	OmniPath	1e+05	553	141.46	141	10.6566430175755	3.92198581560284	38.6181651502511
