dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE70580	binomial	HIPPIE	20000	53	63.59	64	8.21810639547047	0.828125	-1.28861802103667
GSE70580	binomial	HIPPIE	50000	142	213.08	212.5	14.7844307952452	0.668235294117647	-4.8077603381836
GSE70580	binomial	HIPPIE	1e+05	340	491.21	494	21.8170978266074	0.688259109311741	-6.93080267603647
GSE70580	binomial	Reactome	20000	356	213.54	213.5	12.719522893028	1.66744730679157	11.2001056327425
GSE70580	binomial	Reactome	50000	770	496.36	497	19.2964747918872	1.54929577464789	14.1808285166701
GSE70580	binomial	Reactome	1e+05	1419	961.28	960	29.2702765772565	1.478125	15.6377066951139
GSE70580	binomial	STRING	20000	70	70.2	69	7.03239258393226	1.01449275362319	-0.0284398229497265
GSE70580	binomial	STRING	50000	138	162.01	162	11.1992920050395	0.851851851851852	-2.14388552322735
GSE70580	binomial	STRING	1e+05	258	317.58	317.5	15.3149956222354	0.81259842519685	-3.89030473593458
GSE70580	binomial	OmniPath	20000	29	17.92	17	3.86039198302792	1.70588235294118	2.87017485496624
GSE70580	binomial	OmniPath	50000	49	44.82	44	6.00063969653876	1.11363636363636	0.696592398708937
GSE70580	binomial	OmniPath	1e+05	92	94.01	93	8.63688940451703	0.989247311827957	-0.232722674317074
