dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE71315	pearson	HIPPIE	20000	65	61.45	62	8.3174090274131	1.04838709677419	0.426815609079662
GSE71315	pearson	HIPPIE	50000	278	157.76	156.5	12.4495912877621	1.77635782747604	9.6581483858185
GSE71315	pearson	HIPPIE	1e+05	600	349.91	347	15.8446339257941	1.72910662824207	15.7838925892046
GSE71315	pearson	Reactome	20000	158	85.56	85	9.31526389396143	1.85882352941176	7.776483932673
GSE71315	pearson	Reactome	50000	478	223.32	222.5	13.6654692749664	2.14831460674157	18.6367547923543
GSE71315	pearson	Reactome	1e+05	1035	464.07	463	20.7326683124371	2.2354211663067	27.5376999909611
GSE71315	pearson	STRING	20000	88	33.24	33	5.24379383055567	2.66666666666667	10.4428209364206
GSE71315	pearson	STRING	50000	211	79.13	79.5	8.41674017369641	2.65408805031447	15.6675859392825
GSE71315	pearson	STRING	1e+05	410	158.98	159.5	12.1937059439067	2.5705329153605	20.5860302974944
GSE71315	pearson	OmniPath	20000	27	13.03	13	3.43615653269343	2.07692307692308	4.0655889413308
GSE71315	pearson	OmniPath	50000	135	35.69	35	5.24490132404699	3.85714285714286	18.9345792922129
GSE71315	pearson	OmniPath	1e+05	329	84.26	84	7.93867912581345	3.91666666666667	30.828806168044
