dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE71585_l2_Astro-Gja1	bicor	HIPPIE	20000	42	38.17	38.5	5.36741948418343	1.09090909090909	0.713564499902819
GSE71585_l2_Astro-Gja1	bicor	HIPPIE	50000	120	90.26	90.5	8.88492083148849	1.32596685082873	3.34724423143989
GSE71585_l2_Astro-Gja1	bicor	HIPPIE	1e+05	208	169.81	169	12.0073167929249	1.23076923076923	3.18056070799288
GSE71585_l2_Astro-Gja1	bicor	Reactome	20000	63	37.67	37	6.41503127526486	1.7027027027027	3.94853881658655
GSE71585_l2_Astro-Gja1	bicor	Reactome	50000	153	102.13	101.5	9.49391618060979	1.50738916256158	5.35816822397232
GSE71585_l2_Astro-Gja1	bicor	Reactome	1e+05	337	214.58	213.5	14.8025250371262	1.57845433255269	8.27021063588534
GSE71585_l2_Astro-Gja1	bicor	STRING	20000	23	17.63	17	3.6863247142635	1.35294117647059	1.45673547943887
GSE71585_l2_Astro-Gja1	bicor	STRING	50000	60	42.31	42	5.90787011476465	1.42857142857143	2.99431092024011
GSE71585_l2_Astro-Gja1	bicor	STRING	1e+05	112	83.47	83	8.21977782392854	1.34939759036145	3.47089673360106
GSE71585_l2_Astro-Gja1	bicor	OmniPath	20000	8	8.68	9	2.63189450526967	0.888888888888889	-0.25836901845362
GSE71585_l2_Astro-Gja1	bicor	OmniPath	50000	19	18.8	18.5	3.90286090353259	1.02702702702703	0.0512444601392208
GSE71585_l2_Astro-Gja1	bicor	OmniPath	1e+05	32	31.21	31	4.82689225992138	1.03225806451613	0.163666383556874
