dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE71585_l2_L2-3-Ptgs2	euclidean	HIPPIE	20000	9	2.53	2	1.70829822580334	4.5	3.78739490697384
GSE71585_l2_L2-3-Ptgs2	euclidean	HIPPIE	50000	12	4.73	4	2.28236542192347	3	3.18529186000074
GSE71585_l2_L2-3-Ptgs2	euclidean	HIPPIE	1e+05	19	11.74	11	3.30784192213264	1.72727272727273	2.19478444584175
GSE71585_l2_L2-3-Ptgs2	euclidean	Reactome	20000	54	31.64	32	4.96964523254666	1.6875	4.49931513291177
GSE71585_l2_L2-3-Ptgs2	euclidean	Reactome	50000	124	74.49	74	7.87592547071149	1.67567567567568	6.28624536686066
GSE71585_l2_L2-3-Ptgs2	euclidean	Reactome	1e+05	261	167.39	167.5	11.1090962819673	1.55820895522388	8.42642800314469
GSE71585_l2_L2-3-Ptgs2	euclidean	STRING	20000	13	8.96	9	2.960753384877	1.44444444444444	1.36451756523715
GSE71585_l2_L2-3-Ptgs2	euclidean	STRING	50000	35	22.27	22	4.08459782523805	1.59090909090909	3.11658590261775
GSE71585_l2_L2-3-Ptgs2	euclidean	STRING	1e+05	71	43.23	43	5.30837912068165	1.65116279069767	5.23135205091268
GSE71585_l2_L2-3-Ptgs2	euclidean	OmniPath	20000	1	1.52	1	1.14132653637172	1	-0.455610189922581
GSE71585_l2_L2-3-Ptgs2	euclidean	OmniPath	50000	1	2.42	2.5	1.5254077116852	0.4	-0.930898663434215
GSE71585_l2_L2-3-Ptgs2	euclidean	OmniPath	1e+05	9	4.91	5	2.11342510077023	1.8	1.93524719589514
