dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE71585_l2_L4-Ctxn3	MI	HIPPIE	20000	24	16.37	16	4.16492084637459	1.5	1.83196758868578
GSE71585_l2_L4-Ctxn3	MI	HIPPIE	50000	63	55.42	55	6.99376345558865	1.14545454545455	1.08382275839525
GSE71585_l2_L4-Ctxn3	MI	HIPPIE	1e+05	157	129.1	129	11.3266468689074	1.21705426356589	2.46321796052351
GSE71585_l2_L4-Ctxn3	MI	Reactome	20000	35	26.04	26	4.93578972425084	1.34615384615385	1.81531234119986
GSE71585_l2_L4-Ctxn3	MI	Reactome	50000	115	76.93	77	7.89355318080406	1.49350649350649	4.82292310294185
GSE71585_l2_L4-Ctxn3	MI	Reactome	1e+05	293	178.54	176	12.6924936060411	1.66477272727273	9.01792851371002
GSE71585_l2_L4-Ctxn3	MI	STRING	20000	15	10.89	10	3.29031330060856	1.5	1.24912117008427
GSE71585_l2_L4-Ctxn3	MI	STRING	50000	61	37.29	37	5.42030413996272	1.64864864864865	4.37429328461319
GSE71585_l2_L4-Ctxn3	MI	STRING	1e+05	141	76.52	76.5	8.99099437203582	1.84313725490196	7.1716205496189
GSE71585_l2_L4-Ctxn3	MI	OmniPath	20000	6	3.93	4	1.81606189544322	1.5	1.13982899216924
GSE71585_l2_L4-Ctxn3	MI	OmniPath	50000	15	10.65	10	3.07605611329202	1.5	1.41414845496579
GSE71585_l2_L4-Ctxn3	MI	OmniPath	1e+05	38	25.79	25	4.73605342243962	1.52	2.57809591888227
