dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE71585_l2_L5a-Batf3	MI	HIPPIE	20000	29	19.47	19	4.57144187407877	1.52631578947368	2.0846814336714
GSE71585_l2_L5a-Batf3	MI	HIPPIE	50000	98	58.82	58	7.41058484040009	1.68965517241379	5.28703210931523
GSE71585_l2_L5a-Batf3	MI	HIPPIE	1e+05	194	129.59	129.5	10.0725599847539	1.4980694980695	6.39460078644287
GSE71585_l2_L5a-Batf3	MI	Reactome	20000	66	34.75	34	5.57297773260228	1.94117647058824	5.60741519155648
GSE71585_l2_L5a-Batf3	MI	Reactome	50000	173	98.39	98.5	9.04522308216114	1.75634517766497	8.24855277999111
GSE71585_l2_L5a-Batf3	MI	Reactome	1e+05	369	218.56	219	13.3706447643388	1.68493150684932	11.251514242697
GSE71585_l2_L5a-Batf3	MI	STRING	20000	44	15.21	15	3.6633456034206	2.93333333333333	7.8589363703817
GSE71585_l2_L5a-Batf3	MI	STRING	50000	114	44.65	44	6.03420385482759	2.59090909090909	11.4928168932373
GSE71585_l2_L5a-Batf3	MI	STRING	1e+05	195	88.1	88	8.03841785528481	2.21590909090909	13.2986368616953
GSE71585_l2_L5a-Batf3	MI	OmniPath	20000	6	3.1	3	1.47367471706519	2	1.96786981985775
GSE71585_l2_L5a-Batf3	MI	OmniPath	50000	31	10.33	10	3.11092892684465	3.1	6.64431765754455
GSE71585_l2_L5a-Batf3	MI	OmniPath	1e+05	69	26.01	26	4.48227710888206	2.65384615384615	9.5911071439138
