dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE71585_l2_L5a-Batf3	zi_kendall	HIPPIE	20000	211	115.11	115	8.96671172682155	1.83478260869565	10.6939983041019
GSE71585_l2_L5a-Batf3	zi_kendall	HIPPIE	50000	366	241.7	241.5	13.2470694300607	1.51552795031056	9.38320740721222
GSE71585_l2_L5a-Batf3	zi_kendall	HIPPIE	1e+05	603	403.02	404	17.0163201519938	1.49257425742574	11.7522471494266
GSE71585_l2_L5a-Batf3	zi_kendall	Reactome	20000	406	187.59	186	13.0206479380741	2.18279569892473	16.774126835988
GSE71585_l2_L5a-Batf3	zi_kendall	Reactome	50000	823	391.42	391	17.4414923835564	2.10485933503836	24.7444421904451
GSE71585_l2_L5a-Batf3	zi_kendall	Reactome	1e+05	1273	650	649	22.8835435555022	1.96147919876733	27.2248045189751
GSE71585_l2_L5a-Batf3	zi_kendall	STRING	20000	237	74.25	74.5	7.01279494419257	3.18120805369128	23.2075800440702
GSE71585_l2_L5a-Batf3	zi_kendall	STRING	50000	371	129.86	130	10.1812066915946	2.85384615384615	23.6848152978842
GSE71585_l2_L5a-Batf3	zi_kendall	STRING	1e+05	509	199.57	201	11.5042855431611	2.53233830845771	26.8969332201551
GSE71585_l2_L5a-Batf3	zi_kendall	OmniPath	20000	103	20.73	21	4.01224136961883	4.90476190476191	20.5047484488242
GSE71585_l2_L5a-Batf3	zi_kendall	OmniPath	50000	186	45.85	45	5.57116493992763	4.13333333333333	25.1563185637474
GSE71585_l2_L5a-Batf3	zi_kendall	OmniPath	1e+05	280	72.72	72	7.24057032186406	3.88888888888889	28.6275791527202
