dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE71585_l2_L5b-Cdh13	binomial	HIPPIE	20000	17	10.58	11	3.00228868927313	1.54545454545455	2.13836864620581
GSE71585_l2_L5b-Cdh13	binomial	HIPPIE	50000	33	24.94	25	4.63151261370506	1.32	1.7402521966905
GSE71585_l2_L5b-Cdh13	binomial	HIPPIE	1e+05	64	53.01	54	7.58320179706102	1.18518518518519	1.44925590721578
GSE71585_l2_L5b-Cdh13	binomial	Reactome	20000	27	19.04	19	4.30156184930943	1.42105263157895	1.85049065405811
GSE71585_l2_L5b-Cdh13	binomial	Reactome	50000	76	50.47	51	7.57915136103874	1.49019607843137	3.36845100247491
GSE71585_l2_L5b-Cdh13	binomial	Reactome	1e+05	141	101.17	100.5	10.840491807398	1.40298507462687	3.67418754680654
GSE71585_l2_L5b-Cdh13	binomial	STRING	20000	7	8.16	8	2.80591006861077	0.875	-0.413413107204225
GSE71585_l2_L5b-Cdh13	binomial	STRING	50000	24	19.55	20	4.17151233385629	1.2	1.06675940135271
GSE71585_l2_L5b-Cdh13	binomial	STRING	1e+05	43	41.12	41	6.09069500603713	1.04878048780488	0.308667565546549
GSE71585_l2_L5b-Cdh13	binomial	OmniPath	20000	5	2.23	2	1.47610598836564	2.5	1.87655901529604
GSE71585_l2_L5b-Cdh13	binomial	OmniPath	50000	10	4.91	5	2.21151714458832	2	2.30158740232037
GSE71585_l2_L5b-Cdh13	binomial	OmniPath	1e+05	12	9.99	10	2.96271442560311	1.2	0.678431907790381
