dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE71585_l2_L5b-Cdh13	euclidean	HIPPIE	20000	7	2.11	2	1.45570976128173	3.5	3.35918610293197
GSE71585_l2_L5b-Cdh13	euclidean	HIPPIE	50000	12	4.64	4	2.02768714340136	3	3.62975127792837
GSE71585_l2_L5b-Cdh13	euclidean	HIPPIE	1e+05	20	10.88	10	3.11814500670323	2	2.9248158698182
GSE71585_l2_L5b-Cdh13	euclidean	Reactome	20000	59	25.11	25	3.847851295978	2.36	8.80751291907351
GSE71585_l2_L5b-Cdh13	euclidean	Reactome	50000	110	57.81	58	6.14586171025806	1.89655172413793	8.49189299409221
GSE71585_l2_L5b-Cdh13	euclidean	Reactome	1e+05	247	144.4	145	9.97370279659202	1.70344827586207	10.2870520700755
GSE71585_l2_L5b-Cdh13	euclidean	STRING	20000	14	10.63	11	3.13550859373948	1.27272727272727	1.07478576417514
GSE71585_l2_L5b-Cdh13	euclidean	STRING	50000	39	22.06	21	4.86757982300582	1.85714285714286	3.48016891678609
GSE71585_l2_L5b-Cdh13	euclidean	STRING	1e+05	81	48.09	48	7.00951013432696	1.6875	4.69504992065469
GSE71585_l2_L5b-Cdh13	euclidean	OmniPath	20000	1	1.16	1	1.03201284151434	1	-0.155036830515811
GSE71585_l2_L5b-Cdh13	euclidean	OmniPath	50000	3	1.94	2	1.40576015598736	1.5	0.754040435336914
GSE71585_l2_L5b-Cdh13	euclidean	OmniPath	1e+05	8	5.93	5.5	2.40056811457773	1.45454545454545	0.862295882141267
