dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE71585_l2_L6a-Mgp	binomial	HIPPIE	20000	22	13.95	14	3.84385906677814	1.57142857142857	2.09424951855672
GSE71585_l2_L6a-Mgp	binomial	HIPPIE	50000	44	32.96	33	5.49365106465655	1.33333333333333	2.0095925041592
GSE71585_l2_L6a-Mgp	binomial	HIPPIE	1e+05	87	66.03	66	7.96260832347864	1.31818181818182	2.63355914897479
GSE71585_l2_L6a-Mgp	binomial	Reactome	20000	30	22.96	23	4.36450328088878	1.30434782608696	1.6130128784246
GSE71585_l2_L6a-Mgp	binomial	Reactome	50000	65	57.42	57.5	7.1536950966164	1.1304347826087	1.05959226632195
GSE71585_l2_L6a-Mgp	binomial	Reactome	1e+05	150	118.76	118	11.3387865668281	1.27118644067797	2.75514490160644
GSE71585_l2_L6a-Mgp	binomial	STRING	20000	10	8.69	9	2.51337834538907	1.11111111111111	0.521210824627047
GSE71585_l2_L6a-Mgp	binomial	STRING	50000	26	22.64	23	4.26997977427613	1.1304347826087	0.786888973161378
GSE71585_l2_L6a-Mgp	binomial	STRING	1e+05	52	44.45	45	6.22859972589783	1.15555555555556	1.21215045632294
GSE71585_l2_L6a-Mgp	binomial	OmniPath	20000	3	4.55	4	2.06644671361301	0.75	-0.750079830168934
GSE71585_l2_L6a-Mgp	binomial	OmniPath	50000	6	8.06	8	2.76639283055196	0.75	-0.744652016607844
GSE71585_l2_L6a-Mgp	binomial	OmniPath	1e+05	12	15.64	16	3.91712118574833	0.75	-0.929253864609403
