dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE71585_l2_L6a-Mgp	cosine	HIPPIE	20000	178	97.9	98	8.66375242378301	1.81632653061224	9.24541654492759
GSE71585_l2_L6a-Mgp	cosine	HIPPIE	50000	379	232.57	231.5	12.9663550636393	1.63714902807775	11.293073441327
GSE71585_l2_L6a-Mgp	cosine	HIPPIE	1e+05	717	444.85	448	19.4782318281592	1.60044642857143	13.9720074389175
GSE71585_l2_L6a-Mgp	cosine	Reactome	20000	389	153.62	154	12.7697401158466	2.52597402597403	18.4326382420191
GSE71585_l2_L6a-Mgp	cosine	Reactome	50000	797	350.15	349	18.8900994858645	2.2836676217765	23.6552486308703
GSE71585_l2_L6a-Mgp	cosine	Reactome	1e+05	1348	624.66	621	22.0587919667035	2.170692431562	32.7914602527573
GSE71585_l2_L6a-Mgp	cosine	STRING	20000	233	66.62	66	7.67493625150375	3.53030303030303	21.6783559560382
GSE71585_l2_L6a-Mgp	cosine	STRING	50000	419	134.84	133.5	10.8606601730254	3.13857677902622	26.1641553527076
GSE71585_l2_L6a-Mgp	cosine	STRING	1e+05	620	224.56	224	15.040228882849	2.76785714285714	26.2921530702859
GSE71585_l2_L6a-Mgp	cosine	OmniPath	20000	66	15.76	15.5	4.1246242559202	4.25806451612903	12.1805034550454
GSE71585_l2_L6a-Mgp	cosine	OmniPath	50000	174	37.39	38	5.9013694695521	4.57894736842105	23.1488641246467
GSE71585_l2_L6a-Mgp	cosine	OmniPath	1e+05	291	70.74	70	7.43404671125024	4.15714285714286	29.6285466792496
