dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE71585_l2_L6a-Mgp	zi_kendall	HIPPIE	20000	118	60.03	59.5	7.01002889084667	1.98319327731092	8.26958075389592
GSE71585_l2_L6a-Mgp	zi_kendall	HIPPIE	50000	228	140.73	139.5	11.1471833648549	1.63440860215054	7.8288835074829
GSE71585_l2_L6a-Mgp	zi_kendall	HIPPIE	1e+05	390	262.69	263	14.1447745285899	1.4828897338403	9.00049694978711
GSE71585_l2_L6a-Mgp	zi_kendall	Reactome	20000	267	106.26	106	10.172869444128	2.5188679245283	15.8008515574515
GSE71585_l2_L6a-Mgp	zi_kendall	Reactome	50000	494	225.9	224.5	13.1774984214176	2.20044543429844	20.3452879618071
GSE71585_l2_L6a-Mgp	zi_kendall	Reactome	1e+05	838	406.11	407.5	18.5144742721947	2.05644171779141	23.3271544009553
GSE71585_l2_L6a-Mgp	zi_kendall	STRING	20000	153	46.22	46	6.42215231865769	3.32608695652174	16.6268245755838
GSE71585_l2_L6a-Mgp	zi_kendall	STRING	50000	231	79.86	79.5	7.43187239346366	2.90566037735849	20.3367323869726
GSE71585_l2_L6a-Mgp	zi_kendall	STRING	1e+05	315	128.43	129	10.6697486077946	2.44186046511628	17.4858852685343
GSE71585_l2_L6a-Mgp	zi_kendall	OmniPath	20000	53	8.29	8	3.05602567549635	6.625	14.6301126847497
GSE71585_l2_L6a-Mgp	zi_kendall	OmniPath	50000	101	20.14	20	4.64718878854342	5.05	17.3997665425906
GSE71585_l2_L6a-Mgp	zi_kendall	OmniPath	1e+05	150	36.11	36	5.85497284969854	4.16666666666667	19.4518408408783
