dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE71585_l2_L6a-Sla	binomial	HIPPIE	20000	16	14.71	14	3.67160824036376	1.14285714285714	0.351344673927465
GSE71585_l2_L6a-Sla	binomial	HIPPIE	50000	41	33.1	33	5.52770798392567	1.24242424242424	1.4291637732986
GSE71585_l2_L6a-Sla	binomial	HIPPIE	1e+05	75	67.43	67	7.21706031538878	1.11940298507463	1.04890352431428
GSE71585_l2_L6a-Sla	binomial	Reactome	20000	34	24.31	24	4.97406404575907	1.41666666666667	1.94810519343067
GSE71585_l2_L6a-Sla	binomial	Reactome	50000	94	60.15	61	7.49326296742547	1.54098360655738	4.51739117486627
GSE71585_l2_L6a-Sla	binomial	Reactome	1e+05	175	123.97	125	10.5595521407937	1.4	4.83259131823031
GSE71585_l2_L6a-Sla	binomial	STRING	20000	17	10.64	11	3.08636623971566	1.54545454545455	2.06067572868019
GSE71585_l2_L6a-Sla	binomial	STRING	50000	37	26.76	28	5.3221853186127	1.32142857142857	1.9240216916515
GSE71585_l2_L6a-Sla	binomial	STRING	1e+05	62	54.85	55	7.22981341531039	1.12727272727273	0.988960515199276
GSE71585_l2_L6a-Sla	binomial	OmniPath	20000	4	2.58	2	1.55816519916175	2	0.911328272999498
GSE71585_l2_L6a-Sla	binomial	OmniPath	50000	10	6.29	6	2.36683738180704	1.66666666666667	1.56749256561407
GSE71585_l2_L6a-Sla	binomial	OmniPath	1e+05	15	14.65	15	3.83596747439892	1	0.0912416495540914
