dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE71585_l2_L6a-Sla	zi_kendall	HIPPIE	20000	138	67.43	67	6.83906633122009	2.05970149253731	10.3186599723197
GSE71585_l2_L6a-Sla	zi_kendall	HIPPIE	50000	274	150.68	149.5	11.2464405143327	1.83277591973244	10.9652471680118
GSE71585_l2_L6a-Sla	zi_kendall	HIPPIE	1e+05	448	282.33	281	14.2843101041498	1.59430604982206	11.598040002777
GSE71585_l2_L6a-Sla	zi_kendall	Reactome	20000	318	122.91	123.5	8.78025217649404	2.5748987854251	22.2191795951241
GSE71585_l2_L6a-Sla	zi_kendall	Reactome	50000	592	256.37	257	13.1569047049122	2.30350194552529	25.5097994192122
GSE71585_l2_L6a-Sla	zi_kendall	Reactome	1e+05	966	446.05	444	17.2248205925184	2.17567567567568	30.1860908917589
GSE71585_l2_L6a-Sla	zi_kendall	STRING	20000	176	43.83	44	5.77359891613926	4	22.8921339912507
GSE71585_l2_L6a-Sla	zi_kendall	STRING	50000	276	88.78	88	7.37122442304869	3.13636363636364	25.3987654228233
GSE71585_l2_L6a-Sla	zi_kendall	STRING	1e+05	419	151.25	151.5	9.95482219070159	2.76567656765677	26.8965125514843
GSE71585_l2_L6a-Sla	zi_kendall	OmniPath	20000	78	11.9	11	3.90674113074136	7.09090909090909	16.9194727236654
GSE71585_l2_L6a-Sla	zi_kendall	OmniPath	50000	135	23.95	23	5.93632032406431	5.8695652173913	18.706874618917
GSE71585_l2_L6a-Sla	zi_kendall	OmniPath	1e+05	198	42.24	42	6.9108610172684	4.71428571428571	22.5384361819457
