dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE71585_l2_Ndnf-Cxcl14	manhattan	HIPPIE	20000	10	3.53	3	1.97179608427946	3.33333333333333	3.28127236461386
GSE71585_l2_Ndnf-Cxcl14	manhattan	HIPPIE	50000	16	7.02	7	2.85324553815652	2.28571428571429	3.14729310180643
GSE71585_l2_Ndnf-Cxcl14	manhattan	HIPPIE	1e+05	22	11.94	11	3.34186786215147	2	3.01029257138954
GSE71585_l2_Ndnf-Cxcl14	manhattan	Reactome	20000	49	25.98	26	5.01710206506835	1.88461538461538	4.58830609811132
GSE71585_l2_Ndnf-Cxcl14	manhattan	Reactome	50000	92	62.1	61	7.58986565138413	1.50819672131148	3.93946367081574
GSE71585_l2_Ndnf-Cxcl14	manhattan	Reactome	1e+05	189	126.2	125	11.3493647755317	1.512	5.53334933206054
GSE71585_l2_Ndnf-Cxcl14	manhattan	STRING	20000	12	8.92	9	2.84153892008247	1.33333333333333	1.08391969514555
GSE71585_l2_Ndnf-Cxcl14	manhattan	STRING	50000	31	20.27	20	4.02229895568304	1.55	2.66762866664591
GSE71585_l2_Ndnf-Cxcl14	manhattan	STRING	1e+05	58	38.95	39	5.26351075372184	1.48717948717949	3.61925735337953
GSE71585_l2_Ndnf-Cxcl14	manhattan	OmniPath	20000	1	1.15	1	1.0286305498481	1	-0.145824951458179
GSE71585_l2_Ndnf-Cxcl14	manhattan	OmniPath	50000	3	1.83	2	1.23954211161406	1.5	0.943896935035545
GSE71585_l2_Ndnf-Cxcl14	manhattan	OmniPath	1e+05	6	3.27	3	1.67485865527558	2	1.6299882926842
