dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE71585_l2_Pvalb-Gpx3	pearson	HIPPIE	20000	15	11.32	11.5	3.28104442597971	1.30434782608696	1.12159407866023
GSE71585_l2_Pvalb-Gpx3	pearson	HIPPIE	50000	42	36.57	37	5.65373747840731	1.13513513513514	0.960426624111606
GSE71585_l2_Pvalb-Gpx3	pearson	HIPPIE	1e+05	97	87.71	89	9.14230371250689	1.08988764044944	1.01615525934575
GSE71585_l2_Pvalb-Gpx3	pearson	Reactome	20000	34	22.16	22	4.70271789027957	1.54545454545455	2.51769301842942
GSE71585_l2_Pvalb-Gpx3	pearson	Reactome	50000	108	71.52	72	7.62966035755965	1.5	4.78133996670701
GSE71585_l2_Pvalb-Gpx3	pearson	Reactome	1e+05	237	161.08	161	10.7653390681634	1.47204968944099	7.05226277772523
GSE71585_l2_Pvalb-Gpx3	pearson	STRING	20000	17	9.12	9	2.72021983663011	1.88888888888889	2.89682469552239
GSE71585_l2_Pvalb-Gpx3	pearson	STRING	50000	58	26.8	28	4.39926531974776	2.07142857142857	7.09209327747228
GSE71585_l2_Pvalb-Gpx3	pearson	STRING	1e+05	125	57.88	57	6.22520130703669	2.19298245614035	10.7819806444059
GSE71585_l2_Pvalb-Gpx3	pearson	OmniPath	20000	3	3.48	3	1.92001683494303	1	-0.249997807969347
GSE71585_l2_Pvalb-Gpx3	pearson	OmniPath	50000	12	8.35	8	2.59515866275041	1.5	1.40646506604403
GSE71585_l2_Pvalb-Gpx3	pearson	OmniPath	1e+05	35	19.22	19	4.47118721946589	1.84210526315789	3.52926397966512
