dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE71585_l2_Pvalb-Gpx3	weighted_rank	HIPPIE	20000	71	39.4	39	6.04528366128956	1.82051282051282	5.22721542453794
GSE71585_l2_Pvalb-Gpx3	weighted_rank	HIPPIE	50000	159	94.08	93	10.3666910259872	1.70967741935484	6.26236470608209
GSE71585_l2_Pvalb-Gpx3	weighted_rank	HIPPIE	1e+05	288	184.36	184.5	13.2264809371124	1.5609756097561	7.83579551452682
GSE71585_l2_Pvalb-Gpx3	weighted_rank	Reactome	20000	169	69.31	69.5	7.66824094508768	2.43165467625899	13.0003739728421
GSE71585_l2_Pvalb-Gpx3	weighted_rank	Reactome	50000	369	166.41	166	12.4048662657325	2.22289156626506	16.3314940814509
GSE71585_l2_Pvalb-Gpx3	weighted_rank	Reactome	1e+05	643	314.41	314.5	15.4691579759484	2.04451510333863	21.2416215873478
GSE71585_l2_Pvalb-Gpx3	weighted_rank	STRING	20000	94	23.58	23	4.45217005311097	4.08695652173913	15.8170059004808
GSE71585_l2_Pvalb-Gpx3	weighted_rank	STRING	50000	175	49.38	48	6.62072045882768	3.64583333333333	18.9737658886512
GSE71585_l2_Pvalb-Gpx3	weighted_rank	STRING	1e+05	263	94.25	94	8.25034434543079	2.79787234042553	20.4536917411765
GSE71585_l2_Pvalb-Gpx3	weighted_rank	OmniPath	20000	24	6.09	6	2.72324449986787	4	6.57671391638503
GSE71585_l2_Pvalb-Gpx3	weighted_rank	OmniPath	50000	58	15.13	15	3.98140881618758	3.86666666666667	10.7675453537199
GSE71585_l2_Pvalb-Gpx3	weighted_rank	OmniPath	1e+05	101	30.6	30.5	5.73488351136175	3.31147540983607	12.2757506513473
