dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE71585_l2_Sst-Myh8	MI	HIPPIE	20000	22	11.74	11	3.42486451844405	2	2.9957389393789
GSE71585_l2_Sst-Myh8	MI	HIPPIE	50000	44	31.93	32	5.67691586491941	1.375	2.12615446259944
GSE71585_l2_Sst-Myh8	MI	HIPPIE	1e+05	95	73.25	72.5	8.84704481848046	1.31034482758621	2.45844804070244
GSE71585_l2_Sst-Myh8	MI	Reactome	20000	37	23.83	24	4.48579126044929	1.54166666666667	2.93593688054957
GSE71585_l2_Sst-Myh8	MI	Reactome	50000	95	60.89	60	7.70136417143158	1.58333333333333	4.42908545041046
GSE71585_l2_Sst-Myh8	MI	Reactome	1e+05	196	122.05	122	11.2181085569698	1.60655737704918	6.59202035926589
GSE71585_l2_Sst-Myh8	MI	STRING	20000	7	9.6	10	2.7524094128159	0.7	-0.944626910478417
GSE71585_l2_Sst-Myh8	MI	STRING	50000	28	25.83	26	4.83684303084672	1.07692307692308	0.448639740045508
GSE71585_l2_Sst-Myh8	MI	STRING	1e+05	62	52.16	52	7.317779648903	1.19230769230769	1.34467016938329
GSE71585_l2_Sst-Myh8	MI	OmniPath	20000	2	3.14	3	1.63929031207798	0.666666666666667	-0.695422886111566
GSE71585_l2_Sst-Myh8	MI	OmniPath	50000	5	8.53	8	2.96938928523572	0.625	-1.18879663826893
GSE71585_l2_Sst-Myh8	MI	OmniPath	1e+05	18	16.72	16	3.98248691400261	1.125	0.321407208018553
