dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE71585_l2_Vip-Chat	manhattan	HIPPIE	20000	11	3.41	3	1.88076386802616	3.66666666666667	4.03559432900293
GSE71585_l2_Vip-Chat	manhattan	HIPPIE	50000	16	7.18	7	2.76843681962266	2.28571428571429	3.18591341419963
GSE71585_l2_Vip-Chat	manhattan	HIPPIE	1e+05	26	12.54	13	3.64987892424066	2	3.68779356230297
GSE71585_l2_Vip-Chat	manhattan	Reactome	20000	39	17.67	17	4.15131718174296	2.29411764705882	5.13812822922975
GSE71585_l2_Vip-Chat	manhattan	Reactome	50000	73	50.98	50	7.67519946768075	1.46	2.86898081186337
GSE71585_l2_Vip-Chat	manhattan	Reactome	1e+05	164	128.5	129	10.7773612332294	1.27131782945736	3.29394173877595
GSE71585_l2_Vip-Chat	manhattan	STRING	20000	20	13.4	13.5	3.66804381851491	1.48148148148148	1.79932419746069
GSE71585_l2_Vip-Chat	manhattan	STRING	50000	52	29.27	29	5.16955930755644	1.79310344827586	4.39689316781319
GSE71585_l2_Vip-Chat	manhattan	STRING	1e+05	96	61.38	63	7.96809293686419	1.52380952380952	4.34482884101808
GSE71585_l2_Vip-Chat	manhattan	OmniPath	20000	1	2.57	2	1.57155909204776	0.5	-0.999007932914741
GSE71585_l2_Vip-Chat	manhattan	OmniPath	50000	3	4.15	4	1.78871321052173	0.75	-0.642920281035198
GSE71585_l2_Vip-Chat	manhattan	OmniPath	1e+05	7	7.75	7.5	2.37994567461978	0.933333333333333	-0.31513324358541
