dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE71585_l2_Vip-Chat	zi_kendall	HIPPIE	20000	60	41.05	41	5.99389419966416	1.46341463414634	3.16155063281927
GSE71585_l2_Vip-Chat	zi_kendall	HIPPIE	50000	157	102.63	102.5	9.30477774527091	1.53170731707317	5.84323467883294
GSE71585_l2_Vip-Chat	zi_kendall	HIPPIE	1e+05	270	199.31	199	12.2677988607936	1.35678391959799	5.76223989341043
GSE71585_l2_Vip-Chat	zi_kendall	Reactome	20000	106	58.27	57	7.49660529233672	1.85964912280702	6.36688182700391
GSE71585_l2_Vip-Chat	zi_kendall	Reactome	50000	229	135.77	135	10.639980823253	1.6962962962963	8.76223383751328
GSE71585_l2_Vip-Chat	zi_kendall	Reactome	1e+05	406	257.79	255	13.4444573837487	1.5921568627451	11.0238736878405
GSE71585_l2_Vip-Chat	zi_kendall	STRING	20000	31	20.26	20	4.27494462129646	1.55	2.51231324646795
GSE71585_l2_Vip-Chat	zi_kendall	STRING	50000	79	45.41	44.5	7.07405988328649	1.7752808988764	4.748334132619
GSE71585_l2_Vip-Chat	zi_kendall	STRING	1e+05	148	89.64	89	8.57706596722099	1.66292134831461	6.80419157588791
GSE71585_l2_Vip-Chat	zi_kendall	OmniPath	20000	17	6.5	6	2.096172558245	2.83333333333333	5.00912959608202
GSE71585_l2_Vip-Chat	zi_kendall	OmniPath	50000	34	15.3	15	3.53767600483022	2.26666666666667	5.28595608373058
GSE71585_l2_Vip-Chat	zi_kendall	OmniPath	1e+05	55	28.68	29	4.63818146181532	1.89655172413793	5.67463783309994
