dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE71585_l2_Vip-Gpc3	canberra	HIPPIE	20000	159	71.94	71.5	7.62481329461763	2.22377622377622	11.4179844982507
GSE71585_l2_Vip-Gpc3	canberra	HIPPIE	50000	361	165.19	165	12.2199497428251	2.18787878787879	16.0237974886082
GSE71585_l2_Vip-Gpc3	canberra	HIPPIE	1e+05	637	330.57	331	16.4016844417045	1.92447129909366	18.6828371859686
GSE71585_l2_Vip-Gpc3	canberra	Reactome	20000	293	89.54	89.5	8.85964634358129	3.27374301675978	22.9647992831457
GSE71585_l2_Vip-Gpc3	canberra	Reactome	50000	600	215.6	215	13.7024660465763	2.7906976744186	28.0533444632068
GSE71585_l2_Vip-Gpc3	canberra	Reactome	1e+05	967	415.75	417	19.5341581168305	2.3189448441247	28.2197981967315
GSE71585_l2_Vip-Gpc3	canberra	STRING	20000	157	34.13	34	5.30228652792759	4.61764705882353	23.1730215545375
GSE71585_l2_Vip-Gpc3	canberra	STRING	50000	290	66.27	66	6.82220823872485	4.39393939393939	32.7943668928256
GSE71585_l2_Vip-Gpc3	canberra	STRING	1e+05	437	111.35	111	8.52965711532712	3.93693693693694	38.1785569568597
GSE71585_l2_Vip-Gpc3	canberra	OmniPath	20000	97	11.94	12	3.7841241998111	8.08333333333333	22.478120565981
GSE71585_l2_Vip-Gpc3	canberra	OmniPath	50000	180	27.09	27	5.04343758028813	6.66666666666667	30.3186066181599
GSE71585_l2_Vip-Gpc3	canberra	OmniPath	1e+05	252	49.36	49	7.33267214650163	5.14285714285714	27.6352189149324
