dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE71585_l2_Vip-Gpc3	phi_s	HIPPIE	20000	47	32.46	32	5.48537081055538	1.46875	2.65068679988252
GSE71585_l2_Vip-Gpc3	phi_s	HIPPIE	50000	113	79.2	78	8.50193085615428	1.44871794871795	3.97556750012066
GSE71585_l2_Vip-Gpc3	phi_s	HIPPIE	1e+05	211	154.63	154.5	12.4077647569023	1.36569579288026	4.5431228834865
GSE71585_l2_Vip-Gpc3	phi_s	Reactome	20000	89	46.4	46	5.41229427257326	1.93478260869565	7.8709689190174
GSE71585_l2_Vip-Gpc3	phi_s	Reactome	50000	217	117.71	117	10.0817817488936	1.85470085470085	9.84845759142691
GSE71585_l2_Vip-Gpc3	phi_s	Reactome	1e+05	392	228.18	228.5	14.2986755055187	1.71553610503282	11.457005226587
GSE71585_l2_Vip-Gpc3	phi_s	STRING	20000	55	20.01	19	4.4460741961393	2.89473684210526	7.86986416699549
GSE71585_l2_Vip-Gpc3	phi_s	STRING	50000	118	47.15	47	6.304359562632	2.51063829787234	11.238254940272
GSE71585_l2_Vip-Gpc3	phi_s	STRING	1e+05	185	85.31	86	7.29008597585471	2.15116279069767	13.6747358440189
GSE71585_l2_Vip-Gpc3	phi_s	OmniPath	20000	19	5.55	6	2.80106401139988	3.16666666666667	4.80174674525846
GSE71585_l2_Vip-Gpc3	phi_s	OmniPath	50000	52	15.14	15	4.035248731272	3.46666666666667	9.13450507135922
GSE71585_l2_Vip-Gpc3	phi_s	OmniPath	1e+05	78	27.79	28	5.24798181507074	2.78571428571429	9.56748742074733
