dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE71585_l2_Vip-Parm1	bicor	HIPPIE	20000	22	19.42	19	4.74646066968735	1.15789473684211	0.543562915516572
GSE71585_l2_Vip-Parm1	bicor	HIPPIE	50000	58	48.59	49	6.29749830079253	1.18367346938776	1.49424415069961
GSE71585_l2_Vip-Parm1	bicor	HIPPIE	1e+05	121	98.74	99	9.49919720159275	1.22222222222222	2.34335592025267
GSE71585_l2_Vip-Parm1	bicor	Reactome	20000	36	23.75	23	5.04800190494449	1.56521739130435	2.42670272925238
GSE71585_l2_Vip-Parm1	bicor	Reactome	50000	86	58.8	58.5	6.8563912527	1.47008547008547	3.96710149662023
GSE71585_l2_Vip-Parm1	bicor	Reactome	1e+05	184	132.2	132.5	11.319064100941	1.38867924528302	4.57635008849305
GSE71585_l2_Vip-Parm1	bicor	STRING	20000	17	12.15	12.5	2.96571315967248	1.36	1.63535707564369
GSE71585_l2_Vip-Parm1	bicor	STRING	50000	34	30.41	30	4.91153044509869	1.13333333333333	0.730933064577159
GSE71585_l2_Vip-Parm1	bicor	STRING	1e+05	64	59.4	58.5	7.21530360141596	1.09401709401709	0.637533810648977
GSE71585_l2_Vip-Parm1	bicor	OmniPath	20000	5	3.72	3	2.13711785526038	1.66666666666667	0.59893748809845
GSE71585_l2_Vip-Parm1	bicor	OmniPath	50000	12	8.78	9	3.1768735027579	1.33333333333333	1.01357513832536
GSE71585_l2_Vip-Parm1	bicor	OmniPath	1e+05	19	17.28	17	4.32301802546379	1.11764705882353	0.397870189267941
