dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE71585_l2_Vip-Parm1	cosine	HIPPIE	20000	41	26.48	26.5	5.02012113017367	1.54716981132075	2.89236048762387
GSE71585_l2_Vip-Parm1	cosine	HIPPIE	50000	155	96.77	96	9.02393562374057	1.61458333333333	6.45283858705795
GSE71585_l2_Vip-Parm1	cosine	HIPPIE	1e+05	370	217.91	217.5	12.6890511939238	1.70114942528736	11.9859237444663
GSE71585_l2_Vip-Parm1	cosine	Reactome	20000	105	63.19	63	7.24561169873799	1.66666666666667	5.77038926986417
GSE71585_l2_Vip-Parm1	cosine	Reactome	50000	301	166.29	167	11.3398332519406	1.80239520958084	11.8793633916043
GSE71585_l2_Vip-Parm1	cosine	Reactome	1e+05	661	349.69	350	16.2099202697458	1.88857142857143	19.2049063054943
GSE71585_l2_Vip-Parm1	cosine	STRING	20000	60	21.82	22	4.61525796252019	2.72727272727273	8.27256034441714
GSE71585_l2_Vip-Parm1	cosine	STRING	50000	174	66.71	66	7.61085747568246	2.63636363636364	14.0969661227797
GSE71585_l2_Vip-Parm1	cosine	STRING	1e+05	309	136.95	136.5	11.9209305785491	2.26373626373626	14.4325980984734
GSE71585_l2_Vip-Parm1	cosine	OmniPath	20000	10	6.73	6	2.42818051348342	1.66666666666667	1.34668735781465
GSE71585_l2_Vip-Parm1	cosine	OmniPath	50000	64	20.76	21	3.77691017963765	3.04761904761905	11.4485115990098
GSE71585_l2_Vip-Parm1	cosine	OmniPath	1e+05	153	41.18	42	5.61272004135484	3.64285714285714	19.9226042232828
