dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE71585_l2_Vip-Parm1	weighted_rank	HIPPIE	20000	22	20.5	20	4.9431107042371	1.1	0.303452641413481
GSE71585_l2_Vip-Parm1	weighted_rank	HIPPIE	50000	69	55.22	56	7.59396357828261	1.23214285714286	1.81459916918859
GSE71585_l2_Vip-Parm1	weighted_rank	HIPPIE	1e+05	137	117.13	117	9.46834705529935	1.17094017094017	2.09857115333335
GSE71585_l2_Vip-Parm1	weighted_rank	Reactome	20000	86	54.74	55	6.24033798618458	1.56363636363636	5.00934405623641
GSE71585_l2_Vip-Parm1	weighted_rank	Reactome	50000	189	128.29	128	11.2477113272439	1.4765625	5.39754250742105
GSE71585_l2_Vip-Parm1	weighted_rank	Reactome	1e+05	365	239.83	239.5	14.3323149743945	1.52400835073069	8.73341119167583
GSE71585_l2_Vip-Parm1	weighted_rank	STRING	20000	16	11.82	11.5	3.2979332370992	1.39130434782609	1.26746046674876
GSE71585_l2_Vip-Parm1	weighted_rank	STRING	50000	48	33.76	33	6.03042789576831	1.45454545454545	2.36135814010686
GSE71585_l2_Vip-Parm1	weighted_rank	STRING	1e+05	105	72.39	72	8.18337190634617	1.45833333333333	3.98490993360708
GSE71585_l2_Vip-Parm1	weighted_rank	OmniPath	20000	3	3.64	3	1.88840160084146	1	-0.338910960314172
GSE71585_l2_Vip-Parm1	weighted_rank	OmniPath	50000	13	10.52	10	2.96607076071623	1.3	0.836123005845331
GSE71585_l2_Vip-Parm1	weighted_rank	OmniPath	1e+05	33	23.32	23.5	4.27083130081252	1.40425531914894	2.2665376640277
