dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE71858	MI	HIPPIE	20000	112	49.64	50	6.54513467231866	2.24	9.52768783562838
GSE71858	MI	HIPPIE	50000	267	168.51	169.5	11.9835704026788	1.57522123893805	8.21875256626218
GSE71858	MI	HIPPIE	1e+05	468	386.68	387.5	18.9645495969227	1.20774193548387	4.28800059734587
GSE71858	MI	Reactome	20000	422	115.65	117.5	10.532657247194	3.59148936170213	29.085727638352
GSE71858	MI	Reactome	50000	961	320.31	321	16.7040157271879	2.99376947040498	38.3554476039672
GSE71858	MI	Reactome	1e+05	1766	668.28	669	24.8937459185753	2.63976083707025	44.0962161175148
GSE71858	MI	STRING	20000	71	30.91	31	5.81376805436018	2.29032258064516	6.8956999359363
GSE71858	MI	STRING	50000	166	83.76	84	9.11666251177125	1.97619047619048	9.02084506186484
GSE71858	MI	STRING	1e+05	281	179.39	178.5	12.8895032072339	1.57422969187675	7.88315875067815
GSE71858	MI	OmniPath	20000	77	17.78	17	4.08144359487937	4.52941176470588	14.5095720725623
GSE71858	MI	OmniPath	50000	181	48.36	48	7.25512010078177	3.77083333333333	18.2822611007787
GSE71858	MI	OmniPath	1e+05	282	89.72	89	9.31717215520337	3.1685393258427	20.6371629499856
