dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE71858	euclidean	HIPPIE	20000	3	2.76	2.5	1.66436204297653	1.2	0.144199395205376
GSE71858	euclidean	HIPPIE	50000	5	7.02	6	2.64758323187336	0.833333333333333	-0.762959961251418
GSE71858	euclidean	HIPPIE	1e+05	10	18.96	19	4.06989439716074	0.526315789473684	-2.20153132382273
GSE71858	euclidean	Reactome	20000	114	68.67	69	8.92058679050144	1.65217391304348	5.08150428492742
GSE71858	euclidean	Reactome	50000	330	230.11	230	13.7031257954401	1.43478260869565	7.28957768403758
GSE71858	euclidean	Reactome	1e+05	661	522.94	521	20.7173474375579	1.26871401151631	6.66398053206923
GSE71858	euclidean	STRING	20000	24	28.25	28	5.06597882093297	0.857142857142857	-0.838929681750486
GSE71858	euclidean	STRING	50000	53	70.73	70	8.86584069973803	0.757142857142857	-1.99981035081353
GSE71858	euclidean	STRING	1e+05	95	134.81	135	12.2133351528383	0.703703703703704	-3.25955191614867
GSE71858	euclidean	OmniPath	20000	1	0.75	1	0.868936421753919	1	0.287708045998789
GSE71858	euclidean	OmniPath	50000	2	2.98	3	1.51076942066758	0.666666666666667	-0.648676089543141
GSE71858	euclidean	OmniPath	1e+05	3	7.55	7	2.81545159375324	0.428571428571429	-1.61608177178229
