dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE74923_CD8	canberra	HIPPIE	20000	433	291.71	293	15.4169623231273	1.4778156996587	9.1645810010217
GSE74923_CD8	canberra	HIPPIE	50000	741	683.28	684	22.2211474487569	1.08333333333333	2.59752562882297
GSE74923_CD8	canberra	HIPPIE	1e+05	1152	1236.38	1238.5	29.6660810292894	0.930157448526443	-2.84432581157894
GSE74923_CD8	canberra	Reactome	20000	1476	485.43	485	18.7138230118052	3.04329896907216	52.9325301075637
GSE74923_CD8	canberra	Reactome	50000	2611	1027.07	1022	26.417875414464	2.55479452054795	59.9567518261815
GSE74923_CD8	canberra	Reactome	1e+05	4089	1736.78	1739	35.2094971118402	2.35135135135135	66.8064071613507
GSE74923_CD8	canberra	STRING	20000	351	99.52	99.5	8.93577533334857	3.52763819095477	28.1430531340095
GSE74923_CD8	canberra	STRING	50000	532	193.05	193	13.3971012996216	2.75647668393782	25.3002490926581
GSE74923_CD8	canberra	STRING	1e+05	746	316.06	314.5	16.353926412055	2.37201907790143	26.2897110557547
GSE74923_CD8	canberra	OmniPath	20000	331	49.04	48.5	6.76282171698749	6.82474226804124	41.6926560834432
GSE74923_CD8	canberra	OmniPath	50000	447	96.38	96	9.08409643722523	4.65625	38.5971243725698
GSE74923_CD8	canberra	OmniPath	1e+05	565	153.81	152.5	12.0894770170365	3.70491803278689	34.0122239713554
