dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE74923_CD8	hamming	HIPPIE	20000	271	316.7	319.5	19.0170046181428	0.848200312989045	-2.40311242057547
GSE74923_CD8	hamming	HIPPIE	50000	636	807.34	812	30.1455124221155	0.783251231527094	-5.6837647209573
GSE74923_CD8	hamming	HIPPIE	1e+05	1160	1447.23	1444.5	38.4113448624415	0.803046036690896	-7.47773870008005
GSE74923_CD8	hamming	Reactome	20000	842	413.05	415.5	19.161395849705	2.02647412755716	22.3861561738262
GSE74923_CD8	hamming	Reactome	50000	1989	987	987.5	28.8815064382282	2.01417721518987	34.6934811777592
GSE74923_CD8	hamming	Reactome	1e+05	3704	1758.02	1762.5	38.7874237662705	2.10156028368794	50.1703854250878
GSE74923_CD8	hamming	STRING	20000	177	106.94	106	9.16274847390015	1.66981132075472	7.64617736692915
GSE74923_CD8	hamming	STRING	50000	373	252.54	251	14.7198896570304	1.48605577689243	8.18348525747722
GSE74923_CD8	hamming	STRING	1e+05	714	509.77	510	18.7470428644524	1.4	10.893984799451
GSE74923_CD8	hamming	OmniPath	20000	129	48.73	49	6.04671210433631	2.63265306122449	13.2749829353436
GSE74923_CD8	hamming	OmniPath	50000	248	111.27	111	9.5503503558347	2.23423423423423	14.3167522557396
GSE74923_CD8	hamming	OmniPath	1e+05	458	209.3	209	12.6071167972457	2.19138755980861	19.7269529583746
