dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE74923_L1210	binomial	HIPPIE	20000	7	16.77	16	4.0147581282417	0.4375	-2.43352144461038
GSE74923_L1210	binomial	HIPPIE	50000	17	48.89	49	7.25842596399161	0.346938775510204	-4.39351453857949
GSE74923_L1210	binomial	HIPPIE	1e+05	56	118.87	118.5	11.7504824745131	0.472573839662447	-5.35041860079923
GSE74923_L1210	binomial	Reactome	20000	112	44.99	45	5.41881309453789	2.48888888888889	12.3661766573099
GSE74923_L1210	binomial	Reactome	50000	243	109.19	108	10.3550065966257	2.25	12.9222515457985
GSE74923_L1210	binomial	Reactome	1e+05	442	217.02	215	13.1839970334409	2.05581395348837	17.0646276261549
GSE74923_L1210	binomial	STRING	20000	33	18.58	18.5	3.73944305257271	1.78378378378378	3.85618922317299
GSE74923_L1210	binomial	STRING	50000	60	42.49	42	5.68978350762455	1.42857142857143	3.07744573700139
GSE74923_L1210	binomial	STRING	1e+05	96	82.99	83	8.80598396179289	1.1566265060241	1.47740446228921
GSE74923_L1210	binomial	OmniPath	20000	4	4.12	4	1.7654369648242	1	-0.0679718406213103
GSE74923_L1210	binomial	OmniPath	50000	7	12.78	13	2.95275936689529	0.538461538461538	-1.95749103865427
GSE74923_L1210	binomial	OmniPath	1e+05	16	26.8	27	4.04020201515126	0.592592592592593	-2.67313366002459
