dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE74923_L1210	euclidean	HIPPIE	20000	9	13.9	14	3.40380060900438	0.642857142857143	-1.43956728459287
GSE74923_L1210	euclidean	HIPPIE	50000	19	33.03	32.5	5.22320966379095	0.584615384615385	-2.6860878469537
GSE74923_L1210	euclidean	HIPPIE	1e+05	44	66.84	67	8.17327500102769	0.656716417910448	-2.79447345123321
GSE74923_L1210	euclidean	Reactome	20000	49	36.38	36	6.16896762968988	1.36111111111111	2.04572316756255
GSE74923_L1210	euclidean	Reactome	50000	158	109.86	111	10.5371109451646	1.42342342342342	4.56861470383314
GSE74923_L1210	euclidean	Reactome	1e+05	334	223.79	223	15.5129759956761	1.49775784753363	7.10437507482241
GSE74923_L1210	euclidean	STRING	20000	7	13.44	14	3.40326640482672	0.5	-1.89229970091862
GSE74923_L1210	euclidean	STRING	50000	20	39.33	39	6.15794633220387	0.512820512820513	-3.139033527933
GSE74923_L1210	euclidean	STRING	1e+05	43	75.02	76	9.33439387913908	0.565789473684211	-3.43032449825797
GSE74923_L1210	euclidean	OmniPath	20000	2	3.95	4	1.84978841268864	0.5	-1.05417462160751
GSE74923_L1210	euclidean	OmniPath	50000	4	9.91	9	3.0882475171645	0.444444444444444	-1.91370671137989
GSE74923_L1210	euclidean	OmniPath	1e+05	12	20.9	21	4.20317340430616	0.571428571428571	-2.11744773386744
