dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE75330_COP	cosine	HIPPIE	20000	350	196.69	195.5	13.9158328547164	1.79028132992327	11.0169475014957
GSE75330_COP	cosine	HIPPIE	50000	610	400.7	399	19.5987527947855	1.52882205513784	10.6792509804852
GSE75330_COP	cosine	HIPPIE	1e+05	979	725.73	727	25.1206603368139	1.34662998624484	10.08213942644
GSE75330_COP	cosine	Reactome	20000	520	168.47	167	11.425167151707	3.11377245508982	30.7680400060912
GSE75330_COP	cosine	Reactome	50000	909	373.84	373	16.9041982711964	2.43699731903485	31.6584076579294
GSE75330_COP	cosine	Reactome	1e+05	1514	715.42	715	27.8974239424765	2.11748251748252	28.6255821199349
GSE75330_COP	cosine	STRING	20000	260	72.27	72	7.23886117501304	3.61111111111111	25.9336372754326
GSE75330_COP	cosine	STRING	50000	432	144.82	145	9.65399378286499	2.97931034482759	29.7472741809426
GSE75330_COP	cosine	STRING	1e+05	642	247.58	247.5	13.1196359890375	2.59393939393939	30.0633340993278
GSE75330_COP	cosine	OmniPath	20000	225	35.89	35	5.89280506339311	6.42857142857143	32.0916775568865
GSE75330_COP	cosine	OmniPath	50000	325	69.84	69	8.08880008831266	4.71014492753623	31.544851796829
GSE75330_COP	cosine	OmniPath	1e+05	446	116.12	115	10.2575717291071	3.87826086956522	32.1596581249268
