dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE75330_COP	kendall	HIPPIE	20000	215	132.67	132	10.9360445640584	1.62878787878788	7.52831606690594
GSE75330_COP	kendall	HIPPIE	50000	417	287.75	289	15.4189801703923	1.44290657439446	8.38252585914779
GSE75330_COP	kendall	HIPPIE	1e+05	701	525.15	525.5	22.3752997835569	1.33396764985728	7.85911257954311
GSE75330_COP	kendall	Reactome	20000	400	114.67	115	8.3449071143707	3.47826086956522	34.1921121576818
GSE75330_COP	kendall	Reactome	50000	713	253.36	253	14.8755918310241	2.81818181818182	30.8989386924013
GSE75330_COP	kendall	Reactome	1e+05	1185	484.66	484	22.5671702195284	2.44834710743802	31.0335763495045
GSE75330_COP	kendall	STRING	20000	243	58.33	58	7.06685963144203	4.18965517241379	26.131833605179
GSE75330_COP	kendall	STRING	50000	386	117.34	117	10.2111248502342	3.2991452991453	26.3105195500413
GSE75330_COP	kendall	STRING	1e+05	558	211.56	213	14.8849595297408	2.61971830985915	23.2745006331928
GSE75330_COP	kendall	OmniPath	20000	168	26.48	26	3.85200983876986	6.46153846153846	36.7392623392661
GSE75330_COP	kendall	OmniPath	50000	247	54.07	54	5.93781750878863	4.57407407407407	32.4917361832765
GSE75330_COP	kendall	OmniPath	1e+05	337	90.82	90	8.65311294485191	3.74444444444444	28.449877121558
