dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE75330_MFOL1	canberra	HIPPIE	20000	133	78.07	77.5	8.74123514837531	1.71612903225806	6.28400896070272
GSE75330_MFOL1	canberra	HIPPIE	50000	255	184.04	183	13.4524377273445	1.39344262295082	5.27488039255229
GSE75330_MFOL1	canberra	HIPPIE	1e+05	447	376.37	374	17.8860901882503	1.1951871657754	3.94887866809473
GSE75330_MFOL1	canberra	Reactome	20000	227	114.41	115	9.62959977980351	1.97391304347826	11.6920747045104
GSE75330_MFOL1	canberra	Reactome	50000	561	327.57	327.5	14.6178630172785	1.71297709923664	15.9688184055414
GSE75330_MFOL1	canberra	Reactome	1e+05	1101	680.66	684	22.1186972418533	1.60964912280702	19.003831708706
GSE75330_MFOL1	canberra	STRING	20000	82	29.91	29	5.01733359102585	2.82758620689655	10.3820085021195
GSE75330_MFOL1	canberra	STRING	50000	184	71.24	71	7.57070376884181	2.59154929577465	14.8942559956022
GSE75330_MFOL1	canberra	STRING	1e+05	334	140.41	139	10.0785751357857	2.40287769784173	19.2080723109983
GSE75330_MFOL1	canberra	OmniPath	20000	43	9.98	10	3.06488749443358	4.3	10.7736417927153
GSE75330_MFOL1	canberra	OmniPath	50000	94	33.17	33	4.94424469009732	2.84848484848485	12.303193675231
GSE75330_MFOL1	canberra	OmniPath	1e+05	165	69.22	68.5	7.06189089623332	2.40875912408759	13.5629396442654
