dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE75330_MFOL2	pearson	HIPPIE	20000	246	100.58	101	9.3064330959663	2.43564356435644	15.625750327806
GSE75330_MFOL2	pearson	HIPPIE	50000	521	274.07	275.5	15.7237869086132	1.89110707803993	15.7042321569963
GSE75330_MFOL2	pearson	HIPPIE	1e+05	835	519.99	516.5	20.2781142908289	1.61665053242982	15.5344819287496
GSE75330_MFOL2	pearson	Reactome	20000	415	77.48	77.5	8.40331824791597	5.35483870967742	40.1650859865631
GSE75330_MFOL2	pearson	Reactome	50000	872	250.88	252	16.22896774103	3.46031746031746	38.2723048015978
GSE75330_MFOL2	pearson	Reactome	1e+05	1522	562.81	566	20.3453491570735	2.68904593639576	47.1454184735147
GSE75330_MFOL2	pearson	STRING	20000	237	52.64	53	7.05608126570853	4.47169811320755	26.1278169932596
GSE75330_MFOL2	pearson	STRING	50000	473	121.47	121.5	11.1241433673144	3.89300411522634	31.6006355179568
GSE75330_MFOL2	pearson	STRING	1e+05	693	218.18	217	13.0665584411102	3.19354838709677	36.3385662827721
GSE75330_MFOL2	pearson	OmniPath	20000	134	12.58	12	3.03574662575083	11.1666666666667	39.9967503776667
GSE75330_MFOL2	pearson	OmniPath	50000	224	32.22	32	4.97991927239749	7	38.5106644324519
GSE75330_MFOL2	pearson	OmniPath	1e+05	327	61.91	62	7.33070889677751	5.2741935483871	36.1615777863626
