dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE75330_MOL1	jaccard	HIPPIE	20000	138	119.59	119.5	10.4872168458422	1.15481171548117	1.75547051907283
GSE75330_MOL1	jaccard	HIPPIE	50000	300	271.72	270	15.3122912271894	1.11111111111111	1.84688232351435
GSE75330_MOL1	jaccard	HIPPIE	1e+05	549	474.9	474.5	19.8125049788096	1.15700737618546	3.74006215161857
GSE75330_MOL1	jaccard	Reactome	20000	171	94.04	95	8.50658687147908	1.8	9.04710680825841
GSE75330_MOL1	jaccard	Reactome	50000	485	270.44	271	15.090514781267	1.78966789667897	14.2182028320432
GSE75330_MOL1	jaccard	Reactome	1e+05	981	558.59	556.5	21.7618399214698	1.76280323450135	19.4105829986948
GSE75330_MOL1	jaccard	STRING	20000	147	72.92	72.5	7.25673494212115	2.02758620689655	10.2084478199704
GSE75330_MOL1	jaccard	STRING	50000	258	121.68	122	10.1153748363967	2.11475409836066	13.4765149294813
GSE75330_MOL1	jaccard	STRING	1e+05	408	210.38	211	12.4970946118437	1.93364928909953	15.8132754962671
GSE75330_MOL1	jaccard	OmniPath	20000	36	16.46	16	3.87798760683784	2.25	5.03869583428947
GSE75330_MOL1	jaccard	OmniPath	50000	82	34.52	34	4.83355276408899	2.41176470588235	9.82300231679561
GSE75330_MOL1	jaccard	OmniPath	1e+05	161	59.31	59.5	5.59887254162601	2.70588235294118	18.1625852783688
