dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE75330_MOL2	MI	HIPPIE	20000	138	90.21	91	8.89591325987797	1.51648351648352	5.37212971888347
GSE75330_MOL2	MI	HIPPIE	50000	364	246.93	244.5	13.6731359411309	1.48875255623722	8.56204461829675
GSE75330_MOL2	MI	HIPPIE	1e+05	624	473.43	473.5	19.6048102734657	1.31784582893347	7.68025795198795
GSE75330_MOL2	MI	Reactome	20000	287	92.03	92	9.02236838713269	3.1195652173913	21.6096252817672
GSE75330_MOL2	MI	Reactome	50000	686	255.41	253.5	13.7679873165062	2.70611439842209	31.2747237560115
GSE75330_MOL2	MI	Reactome	1e+05	1237	538.86	541.5	20.3589108875021	2.28439519852262	34.2916182431238
GSE75330_MOL2	MI	STRING	20000	215	73.57	73	7.5253846507281	2.94520547945205	18.7937237183373
GSE75330_MOL2	MI	STRING	50000	428	160.35	159.5	12.6214303884506	2.6833855799373	21.2059958152537
GSE75330_MOL2	MI	STRING	1e+05	625	272.78	273	15.9085644934552	2.28937728937729	22.1402754563369
GSE75330_MOL2	MI	OmniPath	20000	79	11.76	12	3.18493930614673	6.58333333333333	21.1118622795201
GSE75330_MOL2	MI	OmniPath	50000	127	29.48	29	4.88551766226291	4.37931034482759	19.9610372414108
GSE75330_MOL2	MI	OmniPath	1e+05	202	57.04	56.5	7.47240039590811	3.57522123893805	19.3993887264633
