dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE75330_MOL2	cosine	HIPPIE	20000	163	117.04	116.5	9.80612053770501	1.39914163090129	4.68686875949378
GSE75330_MOL2	cosine	HIPPIE	50000	368	269.33	269	13.5572523362623	1.36802973977695	7.27802341895502
GSE75330_MOL2	cosine	HIPPIE	1e+05	658	503.16	503	20.2143663284459	1.30815109343936	7.65989878110141
GSE75330_MOL2	cosine	Reactome	20000	304	122.99	122	10.9225880309078	2.49180327868852	16.5720797569032
GSE75330_MOL2	cosine	Reactome	50000	704	319.51	318	18.0255122232099	2.21383647798742	21.3303231130888
GSE75330_MOL2	cosine	Reactome	1e+05	1382	696.08	698	25.1824373624785	1.97994269340974	27.2380306213732
GSE75330_MOL2	cosine	STRING	20000	188	67.75	68	6.94767601577693	2.76470588235294	17.3079458119425
GSE75330_MOL2	cosine	STRING	50000	312	127.6	128	9.87088361973453	2.4375	18.6812049562954
GSE75330_MOL2	cosine	STRING	1e+05	481	219.98	220.5	14.6941753044799	2.18140589569161	17.7635011554831
GSE75330_MOL2	cosine	OmniPath	20000	77	13.34	14	3.31272416813435	5.5	19.2168127405101
GSE75330_MOL2	cosine	OmniPath	50000	139	29.48	29	4.26988514973403	4.79310344827586	25.6494018362114
GSE75330_MOL2	cosine	OmniPath	1e+05	203	55.95	55.5	6.18465843842649	3.65765765765766	23.7765757743952
