dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE75330_MOL4	bicor	HIPPIE	20000	191	127.03	127.5	9.71040782882059	1.49803921568627	6.58777686042561
GSE75330_MOL4	bicor	HIPPIE	50000	387	279.24	279	14.4159843944354	1.38709677419355	7.47503583880094
GSE75330_MOL4	bicor	HIPPIE	1e+05	701	536.1	539	18.5404281166179	1.30055658627087	8.89407725446206
GSE75330_MOL4	bicor	Reactome	20000	321	102.28	101	8.20455650688978	3.17821782178218	26.6583574403235
GSE75330_MOL4	bicor	Reactome	50000	674	264.15	263.5	15.2410762100451	2.55787476280835	26.8911456351012
GSE75330_MOL4	bicor	Reactome	1e+05	1290	569.57	568.5	22.7850096920468	2.26912928759894	31.6185952842262
GSE75330_MOL4	bicor	STRING	20000	204	68.8	68	7.1364762263524	3	18.9449240369856
GSE75330_MOL4	bicor	STRING	50000	351	136.65	136	10.9492631549508	2.58088235294118	19.5766598141428
GSE75330_MOL4	bicor	STRING	1e+05	509	236.5	236	14.1224801095432	2.15677966101695	19.2954776984149
GSE75330_MOL4	bicor	OmniPath	20000	98	16.11	16	3.50438397877674	6.125	23.3678730686884
GSE75330_MOL4	bicor	OmniPath	50000	175	34.83	35	5.39557431810759	5	25.9786987882992
GSE75330_MOL4	bicor	OmniPath	1e+05	238	69.98	70	7.38546210504465	3.4	22.7500998055672
