dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE75330_MOL4	manhattan	HIPPIE	20000	28	21.6	21	4.84715890960359	1.33333333333333	1.32036108560827
GSE75330_MOL4	manhattan	HIPPIE	50000	61	55.93	55	7.20305070049763	1.10909090909091	0.703868431697938
GSE75330_MOL4	manhattan	HIPPIE	1e+05	121	121.97	122	10.1259293126332	0.991803278688525	-0.0957936768124401
GSE75330_MOL4	manhattan	Reactome	20000	56	30.57	30	5.92419282316676	1.86666666666667	4.2925679090922
GSE75330_MOL4	manhattan	Reactome	50000	143	80.51	80	9.02577118336962	1.7875	6.92350811143324
GSE75330_MOL4	manhattan	Reactome	1e+05	321	170.27	171.5	11.8958909805959	1.87172011661808	12.670761714769
GSE75330_MOL4	manhattan	STRING	20000	17	16.2	16	3.84812692203373	1.0625	0.207893350767443
GSE75330_MOL4	manhattan	STRING	50000	35	36.48	36	6.1799284099021	0.972222222222222	-0.239484974879093
GSE75330_MOL4	manhattan	STRING	1e+05	72	71.59	72	9.1718662938974	1	0.0447019163670969
GSE75330_MOL4	manhattan	OmniPath	20000	5	8.14	8	2.23389861683628	0.625	-1.40561437136613
GSE75330_MOL4	manhattan	OmniPath	50000	10	16.84	16.5	3.9279367190278	0.606060606060606	-1.74137224942182
GSE75330_MOL4	manhattan	OmniPath	1e+05	21	30.67	31	5.05136245247385	0.67741935483871	-1.91433501178761
