dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE75330_MOL5	binomial	HIPPIE	20000	74	54.13	54	6.78628295634925	1.37037037037037	2.92796515085031
GSE75330_MOL5	binomial	HIPPIE	50000	181	136.64	136	10.270601371159	1.33088235294118	4.31912391464905
GSE75330_MOL5	binomial	HIPPIE	1e+05	333	276.68	275.5	15.1896296361975	1.20871143375681	3.70779283951646
GSE75330_MOL5	binomial	Reactome	20000	212	90.9	90.5	8.75537353038496	2.34254143646409	13.8315058266481
GSE75330_MOL5	binomial	Reactome	50000	461	225.61	225	12.995644180908	2.04888888888889	18.1129920705134
GSE75330_MOL5	binomial	Reactome	1e+05	893	466.1	466.5	18.9430299540064	1.91425509110397	22.5359935045508
GSE75330_MOL5	binomial	STRING	20000	79	21.58	22	4.4042679025663	3.59090909090909	13.0373540552659
GSE75330_MOL5	binomial	STRING	50000	149	51.87	52	7.45038132032058	2.86538461538462	13.0369166119165
GSE75330_MOL5	binomial	STRING	1e+05	272	99.91	99.5	9.1718662938974	2.73366834170854	18.7628116771067
GSE75330_MOL5	binomial	OmniPath	20000	26	7.82	8	2.39688349843093	3.25	7.58484924774239
GSE75330_MOL5	binomial	OmniPath	50000	58	18.37	19	4.10876127219862	3.05263157894737	9.64524278111534
GSE75330_MOL5	binomial	OmniPath	1e+05	99	35.92	35	5.91809415131581	2.82857142857143	10.6588368463139
