dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE75330_MOL5	euclidean	HIPPIE	20000	38	34.72	35	5.72797494492573	1.08571428571429	0.572628203079985
GSE75330_MOL5	euclidean	HIPPIE	50000	97	97.69	97.5	8.94166843175447	0.994871794871795	-0.0771668067616561
GSE75330_MOL5	euclidean	HIPPIE	1e+05	190	216.47	215	14.312850057472	0.883720930232558	-1.84938708179796
GSE75330_MOL5	euclidean	Reactome	20000	88	39.43	39	5.79141649775813	2.25641025641026	8.38654930426806
GSE75330_MOL5	euclidean	Reactome	50000	223	117.12	116	9.71542561854574	1.92241379310345	10.898132944159
GSE75330_MOL5	euclidean	Reactome	1e+05	474	272.96	272.5	13.8796559209819	1.7394495412844	14.4845089204328
GSE75330_MOL5	euclidean	STRING	20000	15	11.13	11	3.32318151077177	1.36363636363636	1.16454668138221
GSE75330_MOL5	euclidean	STRING	50000	51	41.49	41	5.83527240498711	1.24390243902439	1.62974396737199
GSE75330_MOL5	euclidean	STRING	1e+05	116	98.82	99	8.94357169968882	1.17171717171717	1.92093277460925
GSE75330_MOL5	euclidean	OmniPath	20000	4	2.27	2	1.32463068990812	2	1.30602439848347
GSE75330_MOL5	euclidean	OmniPath	50000	7	9.01	9	3.10260561724522	0.777777777777778	-0.647842571040228
GSE75330_MOL5	euclidean	OmniPath	1e+05	27	27.57	28	4.87263021914502	0.964285714285714	-0.116979941913182
