dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE75330_MOL6	weighted_rank	HIPPIE	20000	104	106.39	105	9.55145025743222	0.990476190476191	-0.250223781267173
GSE75330_MOL6	weighted_rank	HIPPIE	50000	234	234.82	234	15.2225112410814	1	-0.053867590374119
GSE75330_MOL6	weighted_rank	HIPPIE	1e+05	442	443.09	441	21.1822753234582	1.00226757369615	-0.0514581169093227
GSE75330_MOL6	weighted_rank	Reactome	20000	201	102.13	102	8.77399163966603	1.97058823529412	11.2685313663877
GSE75330_MOL6	weighted_rank	Reactome	50000	476	261.86	262.5	13.0329961980732	1.81333333333333	16.4306040411229
GSE75330_MOL6	weighted_rank	Reactome	1e+05	895	507.27	507.5	19.5844996428968	1.76354679802956	19.7977996410354
GSE75330_MOL6	weighted_rank	STRING	20000	103	43.56	44	6.19599088365235	2.34090909090909	9.59330010585198
GSE75330_MOL6	weighted_rank	STRING	50000	182	89.12	89	8.48680496923657	2.04494382022472	10.9440478880658
GSE75330_MOL6	weighted_rank	STRING	1e+05	293	157.97	158	10.9576365143127	1.85443037974684	12.3229128675355
GSE75330_MOL6	weighted_rank	OmniPath	20000	37	14.54	14	4.04874341398949	2.64285714285714	5.54740019394529
GSE75330_MOL6	weighted_rank	OmniPath	50000	73	32.63	32	5.87694519699519	2.28125	6.86921498275
GSE75330_MOL6	weighted_rank	OmniPath	1e+05	120	60.2	59	8.2731157639939	2.03389830508475	7.22823198730766
