dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE75330_NFOL1	cosine	HIPPIE	20000	290	173.63	173.5	13.507689542171	1.67146974063401	8.6150928799994
GSE75330_NFOL1	cosine	HIPPIE	50000	602	397.64	397	17.9969245408568	1.51637279596977	11.355273482203
GSE75330_NFOL1	cosine	HIPPIE	1e+05	995	719.89	722	26.4433432840933	1.3781163434903	10.4037525453708
GSE75330_NFOL1	cosine	Reactome	20000	454	159.88	160	12.7938432162671	2.8375	22.989182767695
GSE75330_NFOL1	cosine	Reactome	50000	1005	416.64	415.5	19.2272533849032	2.4187725631769	30.6003144714349
GSE75330_NFOL1	cosine	Reactome	1e+05	1676	822.81	826	25.3112722922121	2.02905569007264	33.7079065070353
GSE75330_NFOL1	cosine	STRING	20000	217	66.35	67	6.55724597277506	3.23880597014925	22.974584242452
GSE75330_NFOL1	cosine	STRING	50000	402	135.75	135	10.8407899745695	2.97777777777778	24.5600182850671
GSE75330_NFOL1	cosine	STRING	1e+05	615	232.43	233.5	12.5692063987727	2.6338329764454	30.437084718201
GSE75330_NFOL1	cosine	OmniPath	20000	148	24.89	25	4.32725681178637	5.92	28.4498945532142
GSE75330_NFOL1	cosine	OmniPath	50000	235	55.12	55	6.93152657111409	4.27272727272727	25.9509933568773
GSE75330_NFOL1	cosine	OmniPath	1e+05	336	100.12	100	9.11351532703828	3.36	25.8824385031957
