dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE75330_NFOL2	bicor	HIPPIE	20000	179	106.14	106	9.46553557049804	1.68867924528302	7.69739857373611
GSE75330_NFOL2	bicor	HIPPIE	50000	400	265.48	264.5	15.5540634204985	1.51228733459357	8.64854387971172
GSE75330_NFOL2	bicor	HIPPIE	1e+05	711	512.65	509	20.9994588674869	1.39685658153242	9.44548148843503
GSE75330_NFOL2	bicor	Reactome	20000	301	90.66	90	9.55602300947291	3.34444444444444	22.0112487999965
GSE75330_NFOL2	bicor	Reactome	50000	641	255.04	256	14.6762503124035	2.50390625	26.2982704563038
GSE75330_NFOL2	bicor	Reactome	1e+05	1162	536.73	536.5	20.1909345594462	2.16589002795899	30.9678582811053
GSE75330_NFOL2	bicor	STRING	20000	184	56.14	57	7.36634443282625	3.2280701754386	17.3573203324873
GSE75330_NFOL2	bicor	STRING	50000	321	126.61	127	10.9681771088412	2.52755905511811	17.7230909084524
GSE75330_NFOL2	bicor	STRING	1e+05	535	226.59	229	15.9215849929229	2.33624454148472	19.3705589071117
GSE75330_NFOL2	bicor	OmniPath	20000	101	12.88	13	3.33720986708503	7.76923076923077	26.405291698652
GSE75330_NFOL2	bicor	OmniPath	50000	175	33.55	33.5	5.09381681030735	5.22388059701493	27.7689609319628
GSE75330_NFOL2	bicor	OmniPath	1e+05	276	66.4	66	7.57854494176444	4.18181818181818	27.6570240871595
