dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE75330_NFOL2	pearson	HIPPIE	20000	231	111.33	110	9.54950419147666	2.1	12.5315406538918
GSE75330_NFOL2	pearson	HIPPIE	50000	486	267.26	267	15.6680334671353	1.82022471910112	13.960909673752
GSE75330_NFOL2	pearson	HIPPIE	1e+05	782	514.58	514	21.4947397840457	1.52140077821012	12.4411834098355
GSE75330_NFOL2	pearson	Reactome	20000	374	90.19	90	8.31050813455744	4.15555555555556	34.1507396906138
GSE75330_NFOL2	pearson	Reactome	50000	805	265.48	266	14.2449565769358	3.02631578947368	37.8744573271316
GSE75330_NFOL2	pearson	Reactome	1e+05	1397	559.82	560	21.124154397038	2.49464285714286	39.6314088727447
GSE75330_NFOL2	pearson	STRING	20000	254	62.67	63	7.13230663809388	4.03174603174603	26.8258236372088
GSE75330_NFOL2	pearson	STRING	50000	441	128.3	128.5	11.4622789350041	3.43190661478599	27.2807878584302
GSE75330_NFOL2	pearson	STRING	1e+05	639	228.6	230.5	14.290634073484	2.77223427331887	28.7181099095868
GSE75330_NFOL2	pearson	OmniPath	20000	138	14.9	15	3.58306905297454	9.2	34.3560222200593
GSE75330_NFOL2	pearson	OmniPath	50000	229	37.76	37	5.21288225592535	6.18918918918919	36.6860386655813
GSE75330_NFOL2	pearson	OmniPath	1e+05	346	75.77	75.5	7.93643305880984	4.58278145695364	34.0493012411956
