dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE75330_OPC	binomial	HIPPIE	20000	111	71.4	71.5	9.00392731371745	1.55244755244755	4.39808081743058
GSE75330_OPC	binomial	HIPPIE	50000	257	183.55	182.5	13.9851111305321	1.40821917808219	5.25201403939114
GSE75330_OPC	binomial	HIPPIE	1e+05	498	374.14	372	20.6715634472464	1.33870967741935	5.9918061019472
GSE75330_OPC	binomial	Reactome	20000	263	119.83	119	10.3485274412363	2.21008403361345	13.8348186070903
GSE75330_OPC	binomial	Reactome	50000	611	295.79	297.5	16.5732503228132	2.05378151260504	19.01920226029
GSE75330_OPC	binomial	Reactome	1e+05	1157	569.83	569	20.9028802809662	2.03339191564148	28.0903871671058
GSE75330_OPC	binomial	STRING	20000	92	21.12	21	4.33748053295198	4.38095238095238	16.3412837156322
GSE75330_OPC	binomial	STRING	50000	184	57.17	57	6.45896917691073	3.2280701754386	19.636260295743
GSE75330_OPC	binomial	STRING	1e+05	345	113.49	113	9.56582194560141	3.05309734513274	24.2017885464044
GSE75330_OPC	binomial	OmniPath	20000	55	10.88	11	3.21700029671912	5	13.7146397048816
GSE75330_OPC	binomial	OmniPath	50000	127	27.13	27	5.06853035898967	4.7037037037037	19.7039364325535
GSE75330_OPC	binomial	OmniPath	1e+05	216	55.82	55	7.28410473690362	3.92727272727273	21.9903482700457
