dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE75330_OPC	cosine	HIPPIE	20000	364	214.22	212	13.07135042833	1.71698113207547	11.4586477366085
GSE75330_OPC	cosine	HIPPIE	50000	675	457.84	455.5	16.6142934690208	1.48188803512623	13.0706731769797
GSE75330_OPC	cosine	HIPPIE	1e+05	1101	824.15	824.5	24.1975768884557	1.33535476046089	11.4412282385217
GSE75330_OPC	cosine	Reactome	20000	495	153.68	154	11.0122796472984	3.21428571428571	30.9944907804565
GSE75330_OPC	cosine	Reactome	50000	964	372.3	371.5	17.0385777373914	2.59488559892328	34.7270769379714
GSE75330_OPC	cosine	Reactome	1e+05	1580	706.73	709.5	25.159232295461	2.22692036645525	34.7097236411918
GSE75330_OPC	cosine	STRING	20000	307	101.61	101	8.34471344170921	3.03960396039604	24.6131879104923
GSE75330_OPC	cosine	STRING	50000	486	189.9	190	13.6688837817279	2.55789473684211	21.6623394220248
GSE75330_OPC	cosine	STRING	1e+05	727	316.26	315	16.250948690256	2.30793650793651	25.2748321238795
GSE75330_OPC	cosine	OmniPath	20000	235	30.47	30.5	5.19800855417658	7.70491803278689	39.3477613336478
GSE75330_OPC	cosine	OmniPath	50000	350	64.04	64	7.5597552202369	5.46875	37.8266215861734
GSE75330_OPC	cosine	OmniPath	1e+05	442	114.47	113.5	9.87953194818214	3.8942731277533	33.1523802663816
