dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE75330_OPC	pearson	HIPPIE	20000	315	163.4	164	12.3083284606379	1.92073170731707	12.3168633730256
GSE75330_OPC	pearson	HIPPIE	50000	587	358.01	357.5	18.0680503775157	1.64195804195804	12.6737525751511
GSE75330_OPC	pearson	HIPPIE	1e+05	939	669.89	670	22.4404464385991	1.40149253731343	11.9921856606699
GSE75330_OPC	pearson	Reactome	20000	547	165.62	166	11.8208683815077	3.29518072289157	32.263281147485
GSE75330_OPC	pearson	Reactome	50000	1001	386.12	386.5	17.457179935864	2.58990944372574	35.2221837810581
GSE75330_OPC	pearson	Reactome	1e+05	1642	716.03	716	24.2859459712232	2.29329608938547	38.1278127315772
GSE75330_OPC	pearson	STRING	20000	285	72.86	72	7.46306731427325	3.95833333333333	28.4253097374961
GSE75330_OPC	pearson	STRING	50000	462	148.13	149	11.5536998315682	3.1006711409396	27.1661895821814
GSE75330_OPC	pearson	STRING	1e+05	676	260.59	260	15.0850082780048	2.6	27.5379364959117
GSE75330_OPC	pearson	OmniPath	20000	251	26.62	26	5.08866833803751	9.65384615384615	44.0940507603477
GSE75330_OPC	pearson	OmniPath	50000	346	53.4	53	6.96455673428327	6.52830188679245	42.0127240201327
GSE75330_OPC	pearson	OmniPath	1e+05	440	93.9	94	9.10932478177159	4.68085106382979	37.9940344966699
