dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE75330_PPR	jaccard	HIPPIE	20000	262	176.24	175.5	11.3539206951394	1.49287749287749	7.55333794402084
GSE75330_PPR	jaccard	HIPPIE	50000	507	359.22	357.5	17.1060742947579	1.41818181818182	8.63903648806708
GSE75330_PPR	jaccard	HIPPIE	1e+05	845	625.26	622.5	24.7184632257433	1.3574297188755	8.8897112248932
GSE75330_PPR	jaccard	Reactome	20000	457	160.12	159	11.4417982622815	2.87421383647799	25.9469703270928
GSE75330_PPR	jaccard	Reactome	50000	981	394.85	394	18.5458073347312	2.48984771573604	31.6055262205977
GSE75330_PPR	jaccard	Reactome	1e+05	1641	775.86	772	27.5435449549775	2.12564766839378	31.409900265712
GSE75330_PPR	jaccard	STRING	20000	220	98.17	98	8.7340677461272	2.24489795918367	13.9488270003425
GSE75330_PPR	jaccard	STRING	50000	362	166.25	166.5	11.21090288221	2.17417417417417	17.4606810938151
GSE75330_PPR	jaccard	STRING	1e+05	571	272.37	274.5	16.5704221095568	2.08014571948998	18.0218704161899
GSE75330_PPR	jaccard	OmniPath	20000	149	29.26	29	4.81080433855279	5.13793103448276	24.8898087665774
GSE75330_PPR	jaccard	OmniPath	50000	238	57.96	57	6.26505459600386	4.17543859649123	28.7371797389983
GSE75330_PPR	jaccard	OmniPath	1e+05	346	98.25	97	9.28273623018515	3.56701030927835	26.6893288634421
