dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE76005	kendall	HIPPIE	20000	433	144.05	143.5	11.7106314470608	3.01742160278746	24.674160510151
GSE76005	kendall	HIPPIE	50000	572	292.08	289	16.481811217524	1.97923875432526	16.9835703312983
GSE76005	kendall	HIPPIE	1e+05	721	520.15	517	22.6654968503836	1.39458413926499	8.86148674903639
GSE76005	kendall	Reactome	20000	1518	194.55	195	11.5770366578748	7.78461538461538	114.316818639403
GSE76005	kendall	Reactome	50000	1985	410.83	410.5	19.7289998313	4.83556638246041	79.7896504364396
GSE76005	kendall	Reactome	1e+05	2716	726.32	727.5	25.871820792343	3.73333333333333	76.9052946048878
GSE76005	kendall	STRING	20000	336	43.17	43	6.61198025014313	7.81395348837209	44.2877910885564
GSE76005	kendall	STRING	50000	463	118.06	117.5	11.1968790745502	3.94042553191489	30.8067987251935
GSE76005	kendall	STRING	1e+05	614	232.3	233.5	14.9094912486285	2.62955032119914	25.6011418253532
GSE76005	kendall	OmniPath	20000	427	44.5	44	5.53683715279451	9.70454545454546	69.0827614113497
GSE76005	kendall	OmniPath	50000	469	71.38	72	7.87372564644943	6.51388888888889	50.4996005517797
GSE76005	kendall	OmniPath	1e+05	520	109.87	111	10.3559430065811	4.68468468468468	39.6033465749442
