dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE77847	phi_s	HIPPIE	20000	324	69.72	69	7.49690845373187	4.69565217391304	33.917981201094
GSE77847	phi_s	HIPPIE	50000	506	161.39	162	11.2769497631051	3.12345679012346	30.5587953515111
GSE77847	phi_s	HIPPIE	1e+05	656	324.92	326	17.0795405989361	2.01226993865031	19.3845963292843
GSE77847	phi_s	Reactome	20000	1592	227.31	227	15.2862881714498	7.01321585903084	89.2754332964121
GSE77847	phi_s	Reactome	50000	2502	466.19	465	22.8900291468455	5.38064516129032	88.9387246708928
GSE77847	phi_s	Reactome	1e+05	3573	838.76	839	29.3887630556203	4.25864123957092	93.0369200917118
GSE77847	phi_s	STRING	20000	380	66.63	67	7.37543698414343	5.67164179104478	42.4883299353949
GSE77847	phi_s	STRING	50000	595	156.47	156.5	10.718109851456	3.80191693290735	40.9148633553543
GSE77847	phi_s	STRING	1e+05	804	282.45	283.5	16.1059465773209	2.83597883597884	32.3824493950827
GSE77847	phi_s	OmniPath	20000	346	29.13	29	5.26596658177813	11.9310344827586	60.1731885455688
GSE77847	phi_s	OmniPath	50000	465	51.31	50	7.03339077960168	9.3	58.8180030035852
GSE77847	phi_s	OmniPath	1e+05	544	81.18	81.5	8.66244652497086	6.67484662576687	53.4283240497761
