dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE81076	cosine	HIPPIE	20000	988	203.05	201	12.6198296743697	4.91542288557214	62.1997301274359
GSE81076	cosine	HIPPIE	50000	1307	486.36	485	20.7357204121318	2.69484536082474	39.576150897553
GSE81076	cosine	HIPPIE	1e+05	1914	1354.29	1352.5	32.8305397980957	1.41515711645102	17.048455597811
GSE81076	cosine	Reactome	20000	2893	303.33	302	14.8603295367025	9.5794701986755	174.267333278441
GSE81076	cosine	Reactome	50000	4567	797.72	799	24.0109739220813	5.71589486858573	156.981554027412
GSE81076	cosine	Reactome	1e+05	7653	2126.97	2126.5	42.2341847753258	3.59887138490477	130.842587098507
GSE81076	cosine	STRING	20000	437	29.57	29	5.17619844123371	15.0689655172414	78.7122063857528
GSE81076	cosine	STRING	50000	643	115.62	117	9.65441229530191	5.4957264957265	54.6258005012523
GSE81076	cosine	STRING	1e+05	966	360.88	362	18.0186659670555	2.66850828729282	33.5829523176896
GSE81076	cosine	OmniPath	20000	1215	186.61	186	12.5729346959525	6.53225806451613	81.7939506463084
GSE81076	cosine	OmniPath	50000	1396	270.52	270.5	13.9584375844139	5.16081330868762	80.6308007750607
GSE81076	cosine	OmniPath	1e+05	1454	438.58	438.5	17.8343556772944	3.31584948688712	56.9361752324347
