dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE81076	dice	HIPPIE	20000	1394	834.02	833.5	24.7659671992259	1.67246550689862	22.6108673848806
GSE81076	dice	HIPPIE	50000	1970	1653.89	1653.5	34.2766212990249	1.19141215603266	9.2223208711937
GSE81076	dice	HIPPIE	1e+05	2547	2684.64	2680	44.9022552357064	0.950373134328358	-3.06532487683487
GSE81076	dice	Reactome	20000	4341	1230.81	1228	28.0938884040028	3.53501628664495	110.706996314432
GSE81076	dice	Reactome	50000	6317	2267.16	2265	39.8724532133718	2.78896247240618	101.569872772258
GSE81076	dice	Reactome	1e+05	8937	3743.89	3743	50.0732584532025	2.38765695965803	103.710246954537
GSE81076	dice	STRING	20000	688	250.44	249.5	13.3055164378076	2.75751503006012	32.8856081644959
GSE81076	dice	STRING	50000	974	555.69	555	18.9388676290508	1.75495495495496	22.0873817903635
GSE81076	dice	STRING	1e+05	1279	912.13	912	25.0755041642418	1.40241228070175	14.6306131113872
GSE81076	dice	OmniPath	20000	1346	361.19	361	16.368049068323	3.72853185595568	60.1666084876234
GSE81076	dice	OmniPath	50000	1433	522.9	523	21.0926288048453	2.73996175908222	43.1477749132406
GSE81076	dice	OmniPath	1e+05	1479	668.19	667	20.5700061136391	2.21739130434783	39.4171005842524
