dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE81547_alpha	manhattan	HIPPIE	20000	17	18.79	18	4.12505280039669	0.944444444444444	-0.433933839544517
GSE81547_alpha	manhattan	HIPPIE	50000	40	47.88	48	7.28257918569785	0.833333333333333	-1.0820342352714
GSE81547_alpha	manhattan	HIPPIE	1e+05	95	102	102	10.6647725591019	0.931372549019608	-0.656366552704942
GSE81547_alpha	manhattan	Reactome	20000	53	33.21	32.5	5.49250177583729	1.63076923076923	3.60309396476857
GSE81547_alpha	manhattan	Reactome	50000	138	83.65	83	8.57218310772251	1.66265060240964	6.34027520376194
GSE81547_alpha	manhattan	Reactome	1e+05	272	175.01	175.5	11.9057706066165	1.54985754985755	8.14646974183248
GSE81547_alpha	manhattan	STRING	20000	9	16.87	16.5	3.86816846488455	0.545454545454545	-2.03455461452734
GSE81547_alpha	manhattan	STRING	50000	43	41.73	42	5.74518683048443	1.02380952380952	0.221054604048954
GSE81547_alpha	manhattan	STRING	1e+05	90	83.48	83	8.18779579618349	1.08433734939759	0.796307109056031
GSE81547_alpha	manhattan	OmniPath	20000	5	5.09	5	1.99035553394743	1	-0.0452180519836599
GSE81547_alpha	manhattan	OmniPath	50000	14	11.21	11	2.93806436658937	1.27272727272727	0.949604791415358
GSE81547_alpha	manhattan	OmniPath	1e+05	29	21.55	21	4.5823001590331	1.38095238095238	1.62582103778466
