dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE81547_alpha	pearson	HIPPIE	20000	1222	212.26	214.5	14.3707193890068	5.6969696969697	70.2637058498563
GSE81547_alpha	pearson	HIPPIE	50000	1582	427.8	427	21.538783436378	3.70491803278689	53.5870562703467
GSE81547_alpha	pearson	HIPPIE	1e+05	1996	764.37	763	27.836338070438	2.61598951507208	44.245403144747
GSE81547_alpha	pearson	Reactome	20000	1899	369.81	368.5	17.5865507612143	5.15332428765265	86.9522409915936
GSE81547_alpha	pearson	Reactome	50000	2640	701.66	702.5	21.062782534148	3.75800711743772	92.0267774144975
GSE81547_alpha	pearson	Reactome	1e+05	3587	1208.29	1207	31.9131697585872	2.97183098591549	74.5369393887906
GSE81547_alpha	pearson	STRING	20000	580	55.05	55	7.33935703016018	10.5454545454545	71.525339051198
GSE81547_alpha	pearson	STRING	50000	779	125.75	126.5	11.4295161045356	6.15810276679842	57.1546506453383
GSE81547_alpha	pearson	STRING	1e+05	1005	235.67	235.5	15.974762292536	4.26751592356688	48.1590890625934
GSE81547_alpha	pearson	OmniPath	20000	1290	119.52	121	10.8688044002507	10.6611570247934	107.691697899449
GSE81547_alpha	pearson	OmniPath	50000	1385	170.82	170.5	12.3765663226678	8.12316715542522	98.1031384913456
GSE81547_alpha	pearson	OmniPath	1e+05	1456	247.97	249	14.2711512351232	5.84738955823293	84.648391716772
