dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE81547_beta	MI	HIPPIE	20000	1162	207.4	207.5	16.9818679297608	5.6	56.2128974237904
GSE81547_beta	MI	HIPPIE	50000	1474	385.26	385.5	19.2462091243072	3.82360570687419	56.5690621445532
GSE81547_beta	MI	HIPPIE	1e+05	1820	635.18	635.5	25.1011609856652	2.86388670338316	47.2018007723478
GSE81547_beta	MI	Reactome	20000	1855	318.79	319	14.256875002906	5.81504702194357	107.75222478186
GSE81547_beta	MI	Reactome	50000	2496	581.4	579	22.7458509925159	4.31088082901554	84.1735928293016
GSE81547_beta	MI	Reactome	1e+05	3249	958.33	959	23.8649631184811	3.38790406673618	95.9846444609041
GSE81547_beta	MI	STRING	20000	555	49.75	50	6.99837643509355	11.1	72.1953162545544
GSE81547_beta	MI	STRING	50000	724	116.88	117	11.041043721707	6.18803418803419	54.9875550991962
GSE81547_beta	MI	STRING	1e+05	918	211.84	212	14.3179762691675	4.33018867924528	49.3198191367765
GSE81547_beta	MI	OmniPath	20000	1258	112.3	113	10.8585952548703	11.1327433628319	105.510885442215
GSE81547_beta	MI	OmniPath	50000	1344	147.81	147.5	11.8429922167696	9.11186440677966	101.004034968984
GSE81547_beta	MI	OmniPath	1e+05	1414	191.99	191.5	13.3941755772403	7.38381201044386	91.2344319329718
