dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE81547_delta	euclidean	HIPPIE	20000	24	20.15	20	4.43898022687029	1.2	0.867316321143977
GSE81547_delta	euclidean	HIPPIE	50000	57	57.7	57	7.56453714527348	1	-0.092537056340239
GSE81547_delta	euclidean	HIPPIE	1e+05	132	128.12	128.5	11.346943699214	1.0272373540856	0.341942297666355
GSE81547_delta	euclidean	Reactome	20000	52	36.4	36	5.51215369740707	1.44444444444444	2.83010976405435
GSE81547_delta	euclidean	Reactome	50000	132	97.67	97	9.50072299215893	1.36082474226804	3.6134092140496
GSE81547_delta	euclidean	Reactome	1e+05	278	208.38	209	14.2770423895826	1.33014354066986	4.87636011018632
GSE81547_delta	euclidean	STRING	20000	20	16.03	16	3.84406928746981	1.25	1.03275974055428
GSE81547_delta	euclidean	STRING	50000	43	36.98	37.5	5.49559970900503	1.14666666666667	1.09542184998221
GSE81547_delta	euclidean	STRING	1e+05	90	75.62	76	7.71955407724534	1.18421052631579	1.86280189970913
GSE81547_delta	euclidean	OmniPath	20000	2	3.77	3	1.79705145708016	0.666666666666667	-0.984946754321595
GSE81547_delta	euclidean	OmniPath	50000	6	10.34	10	2.65611548976122	0.6	-1.63396509554265
GSE81547_delta	euclidean	OmniPath	1e+05	21	23.91	23	4.21659779558081	0.91304347826087	-0.69012984900998
