dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE81547_mesenchymal	canberra	HIPPIE	20000	1210	341.06	340	14.9671829566076	3.55882352941176	58.0563491820206
GSE81547_mesenchymal	canberra	HIPPIE	50000	1766	696.5	697	23.414792872296	2.53371592539455	45.6762528642913
GSE81547_mesenchymal	canberra	HIPPIE	1e+05	2473	1220.44	1219.5	30.7966022000919	2.02788027880279	40.6720193306345
GSE81547_mesenchymal	canberra	Reactome	20000	1802	510.5	510	21.3780308265332	3.53333333333333	60.4124865605987
GSE81547_mesenchymal	canberra	Reactome	50000	2947	1022.57	1022	29.5406773138602	2.88356164383562	65.145087214946
GSE81547_mesenchymal	canberra	Reactome	1e+05	4546	1821.45	1819	34.3197604827883	2.49917537108301	79.3872090502026
GSE81547_mesenchymal	canberra	STRING	20000	528	89.8	89	8.93410218310614	5.93258426966292	49.0480174749524
GSE81547_mesenchymal	canberra	STRING	50000	786	198	198	14.3716893420869	3.96969696969697	40.9137705390045
GSE81547_mesenchymal	canberra	STRING	1e+05	1074	349.49	348.5	19.4357241629267	3.08177905308465	37.2772320664022
GSE81547_mesenchymal	canberra	OmniPath	20000	1104	159.41	159	13.4397984292244	6.94339622641509	70.2830481405154
GSE81547_mesenchymal	canberra	OmniPath	50000	1261	255.89	255	16.6666030301815	4.94509803921569	60.3068302628824
GSE81547_mesenchymal	canberra	OmniPath	1e+05	1383	385.14	386	19.7197639668707	3.58290155440414	50.602025545357
