dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE81608_PP	bicor	HIPPIE	20000	22	19.06	19	4.53230826200273	1.15789473684211	0.648676089543141
GSE81608_PP	bicor	HIPPIE	50000	66	52.34	52.5	7.50113796080773	1.25714285714286	1.8210570277965
GSE81608_PP	bicor	HIPPIE	1e+05	134	111.5	112	9.41683427043121	1.19642857142857	2.3893380040307
GSE81608_PP	bicor	Reactome	20000	71	45.72	46	6.78095967702317	1.54347826086957	3.72808587634868
GSE81608_PP	bicor	Reactome	50000	149	107.29	107.5	10.7659161010547	1.38604651162791	3.87426389064222
GSE81608_PP	bicor	Reactome	1e+05	325	213.22	213	13.6888806900146	1.52582159624413	8.16575164407257
GSE81608_PP	bicor	STRING	20000	27	13.98	14	3.37243729865113	1.92857142857143	3.86070928737729
GSE81608_PP	bicor	STRING	50000	65	35.95	36	5.98883641587927	1.80555555555556	4.85069185108723
GSE81608_PP	bicor	STRING	1e+05	130	76.53	75.5	9.4745325835509	1.72185430463576	5.64355017289521
GSE81608_PP	bicor	OmniPath	20000	5	2.7	3	1.51424215135139	1.66666666666667	1.51891162054058
GSE81608_PP	bicor	OmniPath	50000	10	7.94	8	2.47337335587973	1.25	0.832870619837052
GSE81608_PP	bicor	OmniPath	1e+05	27	17.53	17	4.24848160636197	1.58823529411765	2.22903165823267
