dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE81608_PP	weighted_rank	HIPPIE	20000	119	59.78	60	6.47384793385719	1.98333333333333	9.14757353046383
GSE81608_PP	weighted_rank	HIPPIE	50000	256	142.15	142.5	10.667021774392	1.79649122807018	10.6730821786936
GSE81608_PP	weighted_rank	HIPPIE	1e+05	473	274.97	274	14.1638713819793	1.72627737226277	13.9813469537681
GSE81608_PP	weighted_rank	Reactome	20000	223	89.39	89	9.0071744692324	2.50561797752809	14.8337306506495
GSE81608_PP	weighted_rank	Reactome	50000	444	208.58	210.5	14.4747638280833	2.10926365795724	16.2641686452423
GSE81608_PP	weighted_rank	Reactome	1e+05	775	405.25	404.5	19.315234475105	1.9159456118665	19.142920603763
GSE81608_PP	weighted_rank	STRING	20000	133	24.23	24	5.07092125991347	5.54166666666667	21.4497513222787
GSE81608_PP	weighted_rank	STRING	50000	187	63.85	64	7.51345594264185	2.921875	16.3905932157098
GSE81608_PP	weighted_rank	STRING	1e+05	281	123.69	123	11.3535425877974	2.28455284552846	13.8555872568862
GSE81608_PP	weighted_rank	OmniPath	20000	54	10.58	10	3.18829931550545	5.4	13.6185457208607
GSE81608_PP	weighted_rank	OmniPath	50000	95	25.25	24.5	5.11163260405009	3.87755102040816	13.6453468789473
GSE81608_PP	weighted_rank	OmniPath	1e+05	149	45.37	46	6.44268436431444	3.23913043478261	16.0849102858428
