dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE81608_alpha	hamming	HIPPIE	20000	892	280.67	279.5	14.6508558029071	3.19141323792487	41.726572715206
GSE81608_alpha	hamming	HIPPIE	50000	1686	594.54	594.5	21.8698722705761	2.83599663582843	49.9070130129868
GSE81608_alpha	hamming	HIPPIE	1e+05	2435	1005.08	1002	31.5103574442218	2.43013972055888	45.3793646273667
GSE81608_alpha	hamming	Reactome	20000	1205	424.9	425	17.3406161856195	2.83529411764706	44.9868673436722
GSE81608_alpha	hamming	Reactome	50000	2364	884.91	884	24.8140946425473	2.67420814479638	59.6068493050676
GSE81608_alpha	hamming	Reactome	1e+05	3747	1483.53	1483.5	31.9378990219988	2.525783619818	70.8709736492348
GSE81608_alpha	hamming	STRING	20000	511	118.59	119	9.6578800191681	4.29411764705882	40.6310700921092
GSE81608_alpha	hamming	STRING	50000	845	236.18	235	15.2735197004621	3.59574468085106	39.8611460841983
GSE81608_alpha	hamming	STRING	1e+05	1153	414.71	415.5	19.2974039181388	2.77496991576414	38.2585141054148
GSE81608_alpha	hamming	OmniPath	20000	691	111.22	112	9.71157801156679	6.16964285714286	59.6998756854411
GSE81608_alpha	hamming	OmniPath	50000	1199	209	207.5	12.2951908147746	5.77831325301205	80.5192871679845
GSE81608_alpha	hamming	OmniPath	1e+05	1428	302.23	301	16.2442561721323	4.74418604651163	69.3026499995306
